Data,Italia,Italia media mobile 7 gg,Italia variazioni su 7 gg (%),Lombardia,Lombardia media mobile 7 gg,Lombardia variazioni su 7 gg (%),Emilia-R.,Emilia-R. media mobile 7 gg,Emilia-R. variazioni su 7 gg (%),Veneto,Veneto media mobile 7 gg,Veneto variazioni su 7 gg (%),Piemonte,Piemonte media mobile 7 gg,Piemonte variazioni su 7 gg (%),Friuli VG,Friuli VG media mobile 7 gg,Friuli VG variazioni su 7 gg (%),Valle d'Aosta,Valle d'Aosta media mobile 7 gg,Valle d'Aosta variazioni su 7 gg (%),Liguria,Liguria media mobile 7 gg,Liguria variazioni su 7 gg (%),Trento,Trento media mobile 7 gg,Trento variazioni su 7 gg (%),Bolzano,Bolzano media mobile 7 gg,Bolzano variazioni su 7 gg (%),Marche,Marche media mobile 7 gg,Marche variazioni su 7 gg (%),Toscana,Toscana media mobile 7 gg,Toscana variazioni su 7 gg (%),Lazio,Lazio media mobile 7 gg,Lazio variazioni su 7 gg (%),Umbria,Umbria media mobile 7 gg,Umbria variazioni su 7 gg (%),Abruzzo,Abruzzo media mobile 7 gg,Abruzzo variazioni su 7 gg (%),Molise,Molise media mobile 7 gg,Molise variazioni su 7 gg (%),Campania,Campania media mobile 7 gg,Campania variazioni su 7 gg (%),Puglia,Puglia media mobile 7 gg,Puglia variazioni su 7 gg (%),Basilicata,Basilicata media mobile 7 gg,Basilicata variazioni su 7 gg (%),Calabria,Calabria media mobile 7 gg,Calabria variazioni su 7 gg (%),Sicilia,Sicilia media mobile 7 gg,Sicilia variazioni su 7 gg (%),Sardegna,Sardegna media mobile 7 gg,Sardegna variazioni su 7 gg (%),SERIE
10/03/20,168,79,,135,59,,15,10,,6,3,,4,2,,2,0,,0,0,,1,1,,0,0,,0,0,,3,2,,0,0,,1,1,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,
11/03/20,196,103,,149,78,,28,13,,3,3,,4,3,,3,1,,1,0,,0,1,,0,0,,0,0,,5,2,,0,0,,0,1,,0,0,,0,0,,0,0,,1,0,,2,1,,0,0,,0,0,,0,0,,0,0,,
12/03/20,189,124,,127,92,,33,17,,3,3,,5,3,,2,1,,0,0,,3,1,,1,0,,1,0,,4,3,,4,1,,3,1,,0,0,,1,0,,0,0,,0,0,,0,1,,0,0,,0,0,,2,0,,0,0,,
13/03/20,250,153,,146,108,,55,23,,10,4,,20,6,,2,1,,0,0,,6,2,,1,0,,1,0,,5,3,,0,1,,2,1,,1,0,,0,0,,0,0,,1,0,,0,1,,0,0,,0,0,,0,0,,0,0,,
14/03/20,175,173,,76,116,,40,28,,13,6,,13,8,,3,2,,0,0,,10,3,,0,0,,1,0,,9,4,,1,1,,2,2,,0,0,,0,0,,0,0,,4,1,,3,1,,0,0,,0,0,,0,0,,0,0,,
15/03/20,368,206,334.6,252,136,291.4,43,33,375,8,6,181.3,22,11,1420,1,2,1200,0,0,#DIV/0!,6,4,350,4,1,#DIV/0!,2,1,#DIV/0!,10,6,457.1,2,1,#DIV/0!,3,2,333.3,0,0,#DIV/0!,1,0,#DIV/0!,0,0,#DIV/0!,3,1,#DIV/0!,8,2,333.3,0,0,#DIV/0!,1,0,#DIV/0!,0,0,#DIV/0!,2,0,#DIV/0!,
16/03/20,349,242,312.4,202,155,268.5,62,39,367.8,6,7,172.2,30,14,653.8,8,3,2000,1,0,#DIV/0!,17,6,514.3,0,1,#DIV/0!,1,1,#DIV/0!,11,7,422.2,6,2,1200,3,2,180,0,0,#DIV/0!,1,1,#DIV/0!,1,0,#DIV/0!,0,1,#DIV/0!,0,2,333.3,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,
17/03/20,345,267,239.1,220,167,183.8,47,44,359.7,11,8,134.8,22,17,582.4,8,4,800,0,0,#DIV/0!,10,7,642.9,1,1,#DIV/0!,2,1,#DIV/0!,12,8,409.1,3,2,1500,4,2,183.3,0,0,#DIV/0!,2,1,400,0,0,#DIV/0!,0,1,#DIV/0!,2,2,400,0,0,#DIV/0!,0,0,#DIV/0!,1,0,#DIV/0!,0,0,#DIV/0!,
18/03/20,475,307,198.8,319,192,146.7,65,49,279.1,14,9,182.6,21,19,533.3,1,4,316.7,1,0,100,13,9,828.6,0,1,#DIV/0!,1,1,#DIV/0!,23,11,428.6,5,3,2000,9,4,333.3,1,0,#DIV/0!,1,1,500,0,0,#DIV/0!,0,1,700,1,2,250,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,
19/03/20,427,341,175.2,209,203,120.4,73,55,231.9,21,12,277.3,21,21,520.8,5,4,250,3,1,400,18,11,900,5,2,1000,5,2,1200,23,13,416.7,16,5,560,6,4,222.2,0,0,#DIV/0!,4,1,350,1,0,#DIV/0!,8,2,1500,6,3,400,0,0,#DIV/0!,2,0,#DIV/0!,1,0,0,0,0,#DIV/0!,
20/03/20,627,395,158.7,381,237,119.7,109,63,167.7,16,13,196.7,34,23,288.1,2,4,180,1,1,500,28,15,628.6,1,2,450,3,2,650,22,16,378.3,9,6,740,5,5,220,5,1,500,6,2,650,3,1,#DIV/0!,0,2,650,1,3,425,0,0,#DIV/0!,1,1,#DIV/0!,0,0,0,0,0,#DIV/0!,
21/03/20,793,483,180.1,546,304,162.2,75,68,145.6,15,13,116.7,29,26,231.5,4,4,123.1,1,1,600,33,18,443.5,15,4,1200,3,2,466.7,17,17,293.3,25,9,1000,7,5,208.3,3,1,800,5,3,900,2,1,#DIV/0!,5,2,166.7,3,3,250,0,0,#DIV/0!,1,1,#DIV/0!,2,1,100,2,1,#DIV/0!,
22/03/20,651,524,154.1,361,320,135.3,101,76,133.3,23,15,135.6,45,29,165.8,5,5,153.8,1,1,700,19,20,411.1,7,4,383.3,3,3,260,30,20,253.8,19,12,937.5,3,5,184.6,6,2,1400,11,4,900,0,1,#DIV/0!,7,3,122.2,2,2,15.4,0,0,#DIV/0!,3,1,600,2,1,200,3,1,150,
23/03/20,601,560,131.2,320,337,116.7,76,78,97.8,23,18,151,32,29,108.2,7,5,52.4,3,1,400,41,23,276.7,6,5,483.3,6,3,283.3,19,21,210.6,18,14,630.8,10,6,214.3,0,2,1400,5,5,750,0,1,500,20,6,344.4,6,3,61.5,1,0,#DIV/0!,-1,1,500,5,2,450,4,1,350,
24/03/20,743,617,130.6,402,363,116.6,93,85,92.2,24,19,151.9,59,34,107.8,10,5,25.9,7,2,750,19,24,228.8,15,7,600,9,4,275,28,23,189.3,20,16,600,17,8,235.3,3,3,1700,8,6,700,1,1,600,7,7,422.2,7,4,73.3,0,0,#DIV/0!,3,1,800,7,2,466.7,4,2,550,
25/03/20,683,646,110.4,296,359,87.4,92,88,79.4,42,23,152.3,75,42,121.8,6,6,56,5,3,950,23,26,178.5,18,10,857.1,5,5,277.8,56,28,163.5,13,17,471.4,15,9,142.3,0,2,750,6,6,650,0,1,600,18,9,712.5,4,4,107.1,0,0,#DIV/0!,1,1,900,5,3,633.3,3,2,700,
26/03/20,662,680,99.2,387,385,89.1,97,92,67,29,25,107.2,0,39,83.9,2,5,28.6,4,3,340,26,27,136.3,12,11,572.7,5,5,161.5,23,28,109.7,16,17,263.6,11,10,134.5,1,3,800,11,7,477.8,0,1,200,9,9,312.5,17,6,100,0,0,#DIV/0!,3,2,266.7,8,4,1350,1,2,750,
27/03/20,969,729,84.5,541,408,72,93,90,42.8,26,26,104.5,120,51,120.9,4,5,35.7,9,4,400,51,30,107.8,16,13,709.1,12,6,186.7,26,28,80.9,19,19,209.5,12,11,134.4,1,2,133.3,5,7,240,1,1,-20,15,12,440,4,6,104.8,2,0,#DIV/0!,4,2,250,6,5,1650,2,3,850,
28/03/20,889,743,53.6,542,407,33.8,77,90,32.7,49,31,137.4,48,54,111.7,11,6,55.2,4,5,371.4,27,29,64.8,18,13,253.8,4,6,158.8,28,30,78,21,18,90.9,6,11,100,7,3,100,8,8,170,0,0,-71.4,11,12,443.8,2,6,100,0,0,#DIV/0!,3,2,220,18,7,1175,5,3,450,
29/03/20,756,758,44.6,416,415,29.8,99,90,17.9,30,32,110.4,67,57,98.5,11,7,54.5,2,5,325,19,29,49.3,9,13,224.1,0,6,127.8,22,29,46.4,17,18,49.4,12,12,124.3,3,2,0,12,8,83.3,0,0,-71.4,8,13,340,15,8,266.7,1,1,#DIV/0!,4,2,142.9,8,8,850,1,3,300,
30/03/20,812,788,40.7,458,435,29.1,95,92,18.3,21,32,79.7,65,62,112.7,9,8,65.6,7,5,280,20,26,14.2,18,15,202.9,10,6,95.7,31,31,46.6,16,17,28.4,14,12,97.7,2,2,13.3,14,9,88.2,0,0,-66.7,8,11,90,5,8,157.1,1,1,300,6,3,300,11,9,472.7,1,2,88.9,
31/03/20,837,801,29.9,381,432,19,106,94,11.3,64,37,91.9,105,69,99.2,6,7,44.1,6,5,117.6,31,28,15.2,17,15,120.4,2,5,26.7,35,32,36.4,13,16,2.7,12,12,43.9,4,3,0,13,10,72.5,0,0,-85.7,8,11,63.8,19,9,153.8,2,1,500,5,4,188.9,5,9,258.8,3,2,23.1,
01/04/20,727,807,24.9,394,446,24,88,94,5.8,22,34,47,32,62,48.1,9,7,33.3,3,5,66.7,32,29,13.8,9,14,47.8,40,10,114.7,25,27,-2.6,9,16,-7.5,7,11,17.5,0,3,5.9,8,10,57.8,1,0,-71.4,15,11,13.8,19,12,179.3,2,1,700,2,4,170,7,9,186.4,3,2,0,
02/04/20,760,821,20.8,367,443,15.1,79,91,-0.9,33,35,42.4,97,76,94.9,7,8,58.3,4,5,59.1,28,30,10.1,14,14,36.5,13,12,138.2,26,28,-1,15,16,-8.3,16,11,16.2,1,3,0,10,10,34.6,1,0,-50,19,12,27.3,15,11,97.5,1,1,800,3,4,145.5,5,9,106.9,6,3,23.5,
03/04/20,766,792,8.7,351,416,2,91,91,1.3,40,37,42.3,60,68,31.7,7,9,57.9,7,5,10,31,27,-11.3,17,15,14.6,10,11,83.7,54,32,11.1,22,16,-13.1,14,12,8,1,3,28.6,13,11,52.9,0,0,-50,14,12,2.5,20,14,120.9,1,1,166.7,4,4,92.9,8,9,77.1,1,3,5.3,
04/04/20,681,763,2.7,345,387,-4.8,75,90,0.6,35,35,13.4,85,73,34.8,9,8,28.9,12,6,24.2,23,26,-10.7,6,13,-2.2,7,12,86.4,17,30,0,17,16,-13.5,13,13,18.9,2,2,-27.8,7,11,42.6,0,0,0,5,11,-11.5,9,15,142.9,0,1,166.7,4,4,75,10,8,5.9,0,2,-31.8,
05/04/20,525,730,-3.7,249,364,-12.4,74,87,-3,24,34,7.2,40,69,20.7,9,8,9.8,9,7,41.2,14,26,-13.1,7,13,-6.4,12,13,129.3,25,30,5.4,18,16,-11.3,7,12,0,2,2,-20,5,10,27.3,2,1,100,3,10,-18.2,9,14,74.5,2,1,125,7,4,82.4,5,7,-10.5,2,2,-20,
06/04/20,636,705,-10.6,297,341,-21.6,57,81,-11.8,31,36,12.7,83,72,15.7,4,7,-3.8,5,7,21.1,39,28,7,13,12,-21.7,6,13,100,13,28,-8.9,25,17,-2.5,10,11,-9.2,1,2,-35.3,11,10,4.7,0,1,100,15,11,3.9,13,15,92.6,0,1,100,2,4,12.5,7,7,-25.4,4,3,11.8,
07/04/20,604,671,-16.2,282,326,-24.4,72,77,-18.7,33,31,-16.5,68,66,-3.1,6,7,4.1,4,6,18.9,25,27,-2.5,14,11,-25.9,10,14,157.9,18,25,-19.5,19,18,8.7,9,11,-7.3,5,2,-33.3,3,8,-17.4,0,1,300,12,12,7.8,14,14,50,1,1,16.7,2,3,-7.7,2,6,-27.9,5,3,31.3,
08/04/20,542,645,-20.1,238,304,-31.7,54,72,-23.4,41,34,-1.7,59,70,12.6,5,7,-9.6,2,6,22.9,34,28,-5.8,11,12,-17.2,9,10,-8.2,22,25,-7.9,23,20,25.2,6,11,1.4,1,2,-27.8,7,8,-21.1,0,0,50,5,10,-1.4,10,13,11.1,0,1,-37.5,0,3,-18.5,8,6,-28.6,7,4,56.3,
09/04/20,610,623,-24.1,300,295,-33.5,82,72,-20.7,20,32,-8.6,76,67,-11.8,2,6,-26.3,3,6,20,28,28,-6.7,13,12,-19.8,4,8,-28.4,17,24,-14,16,20,27.3,9,10,-13.9,1,2,-27.8,15,9,-12.9,0,0,-33.3,6,9,-28.6,6,12,2.5,1,1,-44.4,1,3,-25.9,5,6,-25,5,3,14.3,
10/04/20,570,595,-24.9,216,275,-33.8,81,71,-22,37,32,-14.7,78,70,3.2,8,6,-28.3,2,5,12.1,27,27,1.1,7,10,-30.4,4,7,-34.2,13,18,-43.4,46,23,45.1,10,9,-21,1,2,-27.8,4,7,-33.3,0,0,0,4,7,-39.8,13,11,-22.1,0,1,-50,4,3,-25.9,10,7,-24.2,5,4,40,
11/04/20,619,587,-23.1,273,265,-31.6,84,72,-20.4,38,32,-8.6,101,72,-1.2,6,6,-31,0,4,-39,25,27,4.3,9,11,-17.8,9,8,-34.1,7,16,-45.2,13,23,46.8,10,9,-30.7,0,2,-15.4,8,8,-31.2,1,0,50,7,7,-32.5,15,11,-21.6,2,1,-25,1,2,-39.3,6,6,-20.4,4,5,113.3,
12/04/20,431,573,-21.5,110,245,-32.6,83,73,-15.6,25,32,-5.9,96,80,15.9,10,6,-26.8,5,3,-56.3,15,28,7.8,9,11,-13.6,5,7,-50,11,14,-52.6,28,24,54.5,6,9,-27.7,0,1,-25,6,8,-22.9,1,0,-50,4,8,-26.4,7,11,-18.8,1,1,-44.4,0,1,-67.7,9,7,-7.8,0,4,87.5,
13/04/20,566,563,-20.1,280,243,-28.7,51,72,-11.1,26,31,-11.6,97,82,14.5,7,6,-13.7,3,3,-58.7,11,24,-16.7,7,10,-15.7,7,7,-46.7,13,14,-48.2,23,24,41.2,5,8,-30.4,0,1,-27.3,12,8,-17.9,0,0,-50,6,6,-44.3,7,10,-30.8,0,1,-37.5,1,1,-66.7,8,7,2.1,2,4,47.4,
14/04/20,602,563,-16.2,241,237,-27.4,90,75,-2.1,24,30,-3.2,101,87,30.8,4,6,-17.6,3,3,-59.1,33,25,-9.9,10,9,-17.5,2,6,-59.2,15,14,-44.9,20,24,35.2,16,9,-18.4,1,1,-66.7,8,9,5.3,0,0,-50,12,6,-47,11,10,-30.3,1,1,-28.6,1,1,-66.7,4,7,13.6,5,4,33.3,
15/04/20,578,568,-11.9,235,236,-22.3,83,79,10.4,34,29,-13.9,88,91,29.5,6,6,-8.5,3,3,-55.8,14,22,-21.1,8,9,-23.2,9,6,-40.3,18,13,-46.3,18,23,18,11,10,-10.7,1,1,-69.2,8,9,8.9,0,0,-33.3,18,8,-21.9,10,10,-23.3,2,1,40,3,2,-50,6,7,6.7,3,3,-4,
16/04/20,525,556,-10.8,231,227,-23.1,55,75,4.4,41,32,0.4,79,91,35.9,5,7,9.5,1,2,-59.5,21,21,-24.7,4,8,-33.3,2,5,-34.5,18,14,-42.8,29,25,26.4,5,9,-7.4,1,1,-69.2,3,7,-19.7,1,0,50,8,8,-1.7,11,11,-8.6,1,1,40,1,2,-45,6,7,8.9,2,3,-12.5,
17/04/20,575,557,-6.5,243,230,-16.3,60,72,2.2,45,33,5.4,77,91,30.7,3,6,-4.7,1,2,-56.8,38,22,-17.4,20,10,-5.6,9,6,-17.3,21,15,-17.6,17,21,-9.8,16,10,7.8,2,1,-61.5,3,7,-7.7,0,0,50,7,9,24,8,10,-6.8,0,1,75,1,1,-60,3,6,-10.6,1,2,-39.3,
18/04/20,482,537,-8.5,199,220,-17,62,69,-4,33,33,1.8,81,88,22.6,2,5,-7.5,1,2,-32,31,23,-15.1,6,9,-13.5,5,6,-27.8,10,15,-7.8,16,22,-5.6,8,10,9.8,0,1,-54.5,7,7,-11.3,0,0,-33.3,7,9,19.2,7,9,-23.8,1,1,0,0,1,-58.8,6,6,-2.3,0,2,-59.4,
19/04/20,433,537,-6.3,163,227,-7.2,58,66,-10.5,28,33,2.7,79,86,7.3,3,4,-26.8,1,2,-38.1,31,26,-7.3,12,10,-11.8,6,6,-14.9,12,15,5.9,19,20,-16.5,1,9,3.3,1,1,-33.3,5,7,-14.8,1,0,0,4,9,17,2,8,-28.2,1,1,20,2,1,-10,4,5,-21.3,0,2,-56.7,
20/04/20,454,521,-7.4,163,211,-13.2,56,66,-8.5,25,33,4.5,78,83,1.4,14,5,-15.9,2,2,-36.8,29,28,19.4,6,9,-5.7,4,5,-22.9,15,16,7.9,30,21,-11.3,8,9,18.2,0,1,-25,5,6,-29.1,1,0,50,5,9,38.6,10,8,-18.1,0,1,20,0,1,-11.1,3,5,-33.3,0,2,-60.7,
21/04/20,534,512,-9.1,203,205,-13.3,68,63,-15.8,42,35,17.5,76,80,-8.2,2,5,-16.7,-1,1,-55.6,33,28,13.9,10,9,0,2,5,-7.5,12,15,8.2,19,21,-12.4,14,9,1.6,2,1,75,8,6,-35,0,0,50,8,8,29.5,25,10,5.8,0,1,0,1,1,0,3,4,-38,7,2,-53.6,
22/04/20,437,491,-13.5,161,195,-17.6,57,59,-24.9,27,34,18.1,74,78,-14.6,5,5,-20.9,1,1,-68.4,32,31,40.5,5,9,0,5,5,-17.5,11,14,5.3,19,21,-9.1,7,8,-11.9,1,1,75,5,5,-41,1,1,100,10,7,-14,11,11,7.2,0,0,-57.1,0,1,-54.5,2,4,-43.8,3,2,-45.8,
23/04/20,464,483,-13.2,200,190,-16,65,61,-19.2,25,32,0,71,77,-16.3,10,6,-15.2,0,1,-70.6,25,31,50,1,9,11.1,5,5,-5.3,12,13,-2.1,18,20,-22,5,8,-6.3,0,1,50,4,5,-24.5,1,1,33.3,5,7,-22,10,10,-1.4,0,0,-71.4,0,1,-63.6,5,4,-46.9,2,2,-38.1,
24/04/20,420,461,-17.2,166,179,-22.2,34,57,-20.9,38,31,-6.4,69,75,-17.4,2,5,-7.3,2,1,-62.5,29,30,33.8,7,7,-29.9,2,4,-32.6,8,11,-22.3,19,20,-5.4,9,7,-24.6,1,1,0,6,6,-16.7,0,1,33.3,4,6,-30.6,11,11,10.1,0,0,-71.4,4,1,-12.5,5,4,-33.3,4,2,-5.9,
25/04/20,415,451,-16,163,174,-20.8,44,55,-21.1,44,33,0.4,68,74,-16.8,5,6,10.8,1,1,-64.7,17,28,20.2,11,7,-18.8,2,4,-33.3,9,11,-25.5,18,20,-6,3,7,-29.9,1,1,20,7,6,-14.9,1,1,150,5,6,-33.9,8,11,26.2,1,0,-66.7,0,1,0,6,4,-33.3,1,2,30.8,
26/04/20,260,426,-20.7,56,159,-30.2,39,52,-20.9,27,33,-1.3,56,70,-18.3,1,6,30,1,1,-53.8,21,27,3.9,5,6,-32.8,4,3,-40,5,10,-32.7,18,20,-0.7,2,7,-22.6,1,1,0,2,5,-19.6,0,1,100,4,6,-33.9,8,12,48.2,0,0,-83.3,0,1,-44.4,4,4,-24.3,6,3,76.9,
27/04/20,333,409,-21.5,124,153,-27.3,45,50,-24.1,29,33,0.9,55,67,-19.6,7,5,-13.5,2,1,-50,14,24,-13.2,2,6,-37.9,1,3,-43.2,5,9,-43.1,17,18,-14.1,8,7,-26.2,1,1,16.7,4,5,-7.7,0,0,0,7,6,-29.5,6,11,33.9,0,0,-83.3,3,1,0,3,4,-12.5,0,3,109.1,
28/04/20,382,387,-24.3,126,142,-30.7,41,46,-26.5,64,36,2.4,58,64,-19.2,7,5,5.7,2,1,12.5,13,22,-23.4,5,5,-45.5,2,3,-43.2,9,8,-44.3,16,18,-15.5,17,7,-19,0,1,-28.6,11,6,0,0,0,0,6,6,-28.1,2,8,-23.3,0,0,-80,2,1,12.5,1,4,-16.1,0,2,23.1,
29/04/20,323,371,-24.5,104,134,-31.1,40,44,-26,29,37,6.2,67,63,-18.4,7,6,14.7,2,1,66.7,11,19,-39.5,4,5,-44.4,2,3,-45.5,6,8,-45.5,16,17,-18.1,17,9,3.4,1,1,-28.6,5,6,8.3,0,0,-50,1,5,-34.7,3,7,-35.1,0,0,-66.7,1,1,100,0,3,-11.1,7,3,53.8,
30/04/20,285,345,-28.4,93,119,-37.5,39,40,-33.8,22,36,12.4,63,62,-18.7,4,5,-15.4,0,1,100,15,17,-45.2,2,5,-40,1,2,-61.1,7,7,-47.3,15,17,-13.8,10,9,11.9,1,1,0,5,6,8.1,0,0,-75,0,4,-41.3,5,6,-41.1,0,0,-50,0,1,150,3,3,-15.4,0,3,38.5,
01/05/20,269,324,-29.7,88,108,-39.9,28,39,-31,20,34,7.8,31,57,-24.6,5,5,-5.3,0,1,33.3,17,15,-48.6,5,5,-27.7,3,2,-48.3,5,7,-42.5,12,16,-20,41,14,88.5,1,1,20,4,5,-5,0,0,-75,0,3,-46.5,6,5,-50,0,0,-50,0,1,-14.3,2,3,-32.1,1,2,-6.3,
02/05/20,474,332,-26.3,329,131,-24.5,35,38,-30.1,23,31,-6.6,29,51,-30.3,1,5,-22,0,1,16.7,11,15,-48,2,4,-51.9,1,2,-46.2,5,6,-46.8,9,15,-27.5,15,16,134,0,1,-16.7,3,5,-15,0,0,-100,3,3,-48.8,1,4,-59.7,0,0,-100,2,1,14.3,3,2,-42.9,2,2,-5.9,
03/05/20,174,320,-24.9,42,129,-18.5,28,37,-29.5,14,29,-11.8,26,47,-33.1,2,5,-15.4,1,1,16.7,14,14,-48.9,4,3,-46.7,2,2,-50,11,7,-33.3,9,13,-33.3,11,17,147.9,0,1,-33.3,3,5,-5.4,1,0,-75,2,3,-53.7,2,4,-69.9,0,0,-100,0,1,60,2,2,-50,0,1,-56.5,
04/05/20,195,300,-26.6,63,121,-21.2,24,34,-33.2,12,26,-20.7,34,44,-34.3,2,4,-12.5,1,1,0,12,13,-45.6,1,3,-43.9,3,2,-33.3,5,7,-22.6,9,12,-32.8,16,18,164.6,2,1,-28.6,2,5,-8.3,0,0,-66.7,2,2,-67.4,5,3,-69.6,0,0,-100,0,1,-37.5,2,2,-53.6,0,1,-56.5,
05/05/20,236,279,-27.8,95,116,-18.3,39,33,-28.3,17,20,-46.1,30,40,-37.9,4,4,-32.4,0,1,-55.6,11,13,-39.7,3,3,-41.7,2,2,-33.3,4,6,-27.1,8,11,-37.6,10,17,135.3,0,1,0,3,4,-35.9,0,0,-66.7,3,2,-73.2,4,4,-53.6,0,0,-100,0,0,-66.7,3,2,-42.3,0,1,-37.5,
06/05/20,369,286,-22.9,222,133,-0.7,32,32,-26.9,23,19,-48.8,31,35,-45,3,3,-46.2,0,0,-80,11,13,-30,4,3,-40,0,2,-33.3,7,6,-18.5,10,10,-41,4,15,75.4,0,1,-20,6,4,-33.3,0,0,-50,7,2,-46.9,5,4,-41.7,0,0,-100,1,0,-70,3,3,-25,0,0,-85,
07/05/20,274,284,-17.7,134,139,16.9,29,31,-23.8,21,19,-48.6,35,31,-50.5,2,3,-42.4,0,0,-80,11,12,-27.5,1,3,-44.4,0,2,-21.4,5,6,-14.3,16,10,-38.7,5,15,54.5,0,0,-50,7,4,-30,0,0,0,3,3,-25.9,3,4,-39.5,1,0,0,0,0,-70,1,2,-27.3,0,0,-83.3,
