Data,NUO TI,NUO RIC,NUO DEC,Terapie Intensive,Ricoveri,Decessi,Regione
25-ott,0,5,1,0,6,1,Valle d'Aosta
26-ott,0,12,1,0,7,1,Valle d'Aosta
27-ott,5,24,2,0,9,1,Valle d'Aosta
28-ott,0,8,1,0,9,2,Valle d'Aosta
29-ott,0,13,5,1,10,2,Valle d'Aosta
30-ott,0,7,4,1,11,2,Valle d'Aosta
31-ott,0,19,2,1,13,2,Valle d'Aosta
1-nov,5,15,6,1,14,3,Valle d'Aosta
2-nov,0,6,5,1,13,4,Valle d'Aosta
3-nov,1,3,1,1,10,3,Valle d'Aosta
4-nov,-2,-18,1,1,6,3,Valle d'Aosta
5-nov,1,8,8,1,6,4,Valle d'Aosta
6-nov,1,-6,6,1,4,4,Valle d'Aosta
7-nov,1,0,7,1,1,5,Valle d'Aosta
8-nov,0,4,3,0,0,4,Valle d'Aosta
9-nov,1,1,2,0,-1,4,Valle d'Aosta
10-nov,0,2,11,0,-1,5,Valle d'Aosta
11-nov,2,-1,7,1,1,6,Valle d'Aosta
12-nov,-1,-1,6,1,0,6,Valle d'Aosta
13-nov,-1,-10,3,0,-1,6,Valle d'Aosta
14-nov,-2,-3,6,0,-1,5,Valle d'Aosta
15-nov,-1,2,8,0,-1,6,Valle d'Aosta
16-nov,4,3,5,0,-1,7,Valle d'Aosta
17-nov,1,1,4,0,-1,6,Valle d'Aosta
18-nov,0,-6,2,0,-2,5,Valle d'Aosta
19-nov,-5,-2,12,-1,-2,6,Valle d'Aosta
20-nov,-2,4,7,-1,0,6,Valle d'Aosta
21-nov,1,1,3,0,0,6,Valle d'Aosta
22-nov,3,-5,4,0,-1,5,Valle d'Aosta
23-nov,-1,2,5,0,-1,5,Valle d'Aosta
24-nov,1,-3,2,0,-1,5,Valle d'Aosta
25-nov,2,-6,5,0,-1,5,Valle d'Aosta
26-nov,1,-9,5,1,-2,4,Valle d'Aosta
27-nov,-2,1,0,1,-3,3,Valle d'Aosta
28-nov,-1,1,8,0,-3,4,Valle d'Aosta
29-nov,-1,8,1,0,-1,4,Valle d'Aosta
30-nov,-2,-14,4,0,-3,4,Valle d'Aosta
1-dic,2,-1,2,0,-3,4,Valle d'Aosta
2-dic,0,-1,5,0,-2,4,Valle d'Aosta
3-dic,-2,-9,2,-1,-2,3,Valle d'Aosta
4-dic,0,-4,2,-1,-3,3,Valle d'Aosta
5-dic,-2,-2,4,-1,-3,3,Valle d'Aosta
6-dic,-1,-5,3,-1,-5,3,Valle d'Aosta
7-dic,2,3,2,0,-3,3,Valle d'Aosta
8-dic,-1,-9,4,-1,-4,3,Valle d'Aosta
9-dic,4,-6,4,0,-5,3,Valle d'Aosta
10-dic,-3,8,1,0,-2,3,Valle d'Aosta
11-dic,-1,-10,3,0,-3,3,Valle d'Aosta
12-dic,-1,-12,4,0,-4,3,Valle d'Aosta
13-dic,0,-2,2,0,-4,3,Valle d'Aosta
14-dic,1,0,0,0,-4,3,Valle d'Aosta
15-dic,-3,0,3,0,-3,2,Valle d'Aosta
16-dic,1,-7,4,-1,-3,2,Valle d'Aosta
17-dic,1,3,2,0,-4,3,Valle d'Aosta
18-dic,-1,0,3,0,-3,3,Valle d'Aosta
19-dic,-3,6,1,-1,0,2,Valle d'Aosta
20-dic,0,2,2,-1,1,2,Valle d'Aosta
21-dic,0,6,0,-1,1,2,Valle d'Aosta
22-dic,1,6,0,0,2,2,Valle d'Aosta
23-dic,-1,-6,2,0,2,1,Valle d'Aosta
24-dic,0,-1,1,-1,2,1,Valle d'Aosta
25-dic,0,1,0,0,2,1,Valle d'Aosta
26-dic,0,-7,1,0,0,1,Valle d'Aosta
27-dic,-2,6,2,0,1,1,Valle d'Aosta
28-dic,2,12,2,0,2,1,Valle d'Aosta
29-dic,-3,-22,2,-1,-2,1,Valle d'Aosta
30-dic,1,-1,1,0,-2,1,Valle d'Aosta
31-dic,0,3,0,0,-1,1,Valle d'Aosta
1-gen,-1,0,2,0,-1,1,Valle d'Aosta
2-gen,1,1,2,0,0,2,Valle d'Aosta
3-gen,0,-10,3,0,-2,2,Valle d'Aosta
4-gen,-1,-3,1,0,-5,2,Valle d'Aosta
5-gen,0,-9,0,0,-3,1,Valle d'Aosta
6-gen,0,0,1,0,-3,1,Valle d'Aosta
7-gen,0,3,0,0,-3,1,Valle d'Aosta
8-gen,0,-3,0,0,-3,1,Valle d'Aosta
9-gen,0,-4,0,0,-4,1,Valle d'Aosta
10-gen,0,3,1,0,-2,0,Valle d'Aosta
11-gen,0,-1,2,0,-2,1,Valle d'Aosta
12-gen,0,-3,1,0,-1,1,Valle d'Aosta
13-gen,1,-6,0,0,-2,1,Valle d'Aosta
14-gen,0,0,0,0,-2,1,Valle d'Aosta
15-gen,1,-3,0,0,-2,1,Valle d'Aosta
16-gen,1,4,1,0,-1,1,Valle d'Aosta
17-gen,-1,-3,1,0,-2,1,Valle d'Aosta
18-gen,-1,4,1,0,-1,1,Valle d'Aosta
19-gen,0,1,3,0,0,1,Valle d'Aosta
20-gen,0,0,1,0,0,1,Valle d'Aosta
21-gen,0,-4,1,0,0,1,Valle d'Aosta
22-gen,0,-2,0,0,0,1,Valle d'Aosta
23-gen,0,3,0,0,0,1,Valle d'Aosta
24-gen,0,2,1,0,1,1,Valle d'Aosta
25-gen,1,0,0,0,0,1,Valle d'Aosta
26-gen,1,-1,0,0,0,0,Valle d'Aosta
27-gen,0,-1,1,0,0,0,Valle d'Aosta
28-gen,0,-2,1,0,0,0,Valle d'Aosta
29-gen,0,-5,0,0,-1,0,Valle d'Aosta
30-gen,0,-1,1,0,-1,1,Valle d'Aosta
31-gen,-1,-3,0,0,-2,0,Valle d'Aosta
1-feb,0,1,1,0,-2,1,Valle d'Aosta
2-feb,0,-8,0,0,-3,1,Valle d'Aosta
3-feb,0,4,1,0,-2,1,Valle d'Aosta
4-feb,0,-2,0,0,-2,0,Valle d'Aosta
5-feb,0,-2,1,0,-2,1,Valle d'Aosta
6-feb,0,-1,1,0,-2,1,Valle d'Aosta
7-feb,0,0,1,0,-1,1,Valle d'Aosta
8-feb,0,1,1,0,-1,1,Valle d'Aosta
9-feb,0,-6,1,0,-1,1,Valle d'Aosta
10-feb,0,-4,0,0,-2,1,Valle d'Aosta
11-feb,0,0,0,0,-2,1,Valle d'Aosta
12-feb,-1,-1,1,0,-2,1,Valle d'Aosta
13-feb,0,-1,0,0,-2,1,Valle d'Aosta
14-feb,0,0,1,0,-2,1,Valle d'Aosta
15-feb,0,-3,0,0,-2,0,Valle d'Aosta
16-feb,0,-2,0,0,-2,0,Valle d'Aosta
17-feb,0,0,0,0,-1,0,Valle d'Aosta
18-feb,0,2,0,0,-1,0,Valle d'Aosta
19-feb,0,-1,0,0,-1,0,Valle d'Aosta
20-feb,-1,-1,1,0,-1,0,Valle d'Aosta
21-feb,0,-2,0,0,-1,0,Valle d'Aosta
22-feb,0,0,0,0,-1,0,Valle d'Aosta
23-feb,-1,0,1,0,0,0,Valle d'Aosta
24-feb,1,3,0,0,0,0,Valle d'Aosta
25-feb,0,1,0,0,0,0,Valle d'Aosta
26-feb,0,-2,0,0,0,0,Valle d'Aosta
27-feb,1,1,0,0,0,0,Valle d'Aosta
28-feb,0,1,0,0,1,0,Valle d'Aosta
1-mar,0,4,0,0,1,0,Valle d'Aosta
2-mar,0,-1,0,0,1,0,Valle d'Aosta
3-mar,0,-1,0,0,0,0,Valle d'Aosta
4-mar,0,1,1,0,0,0,Valle d'Aosta
5-mar,0,-3,0,0,0,0,Valle d'Aosta
6-mar,0,0,0,0,0,0,Valle d'Aosta
7-mar,0,-1,1,0,0,0,Valle d'Aosta
8-mar,0,0,0,0,-1,0,Valle d'Aosta
9-mar,0,0,0,0,-1,0,Valle d'Aosta
10-mar,0,3,0,0,0,0,Valle d'Aosta
11-mar,0,0,0,0,0,0,Valle d'Aosta
12-mar,0,0,0,0,0,0,Valle d'Aosta
13-mar,0,3,0,0,1,0,Valle d'Aosta
14-mar,0,-1,0,0,1,0,Valle d'Aosta
15-mar,1,1,0,0,1,0,Valle d'Aosta
16-mar,0,-1,1,0,1,0,Valle d'Aosta
17-mar,-1,1,1,0,0,0,Valle d'Aosta
18-mar,0,7,0,0,1,0,Valle d'Aosta
19-mar,0,2,0,0,2,0,Valle d'Aosta
20-mar,0,1,0,0,1,0,Valle d'Aosta
21-mar,0,-3,0,0,1,0,Valle d'Aosta
22-mar,0,1,0,0,1,0,Valle d'Aosta
23-mar,1,3,0,0,2,0,Valle d'Aosta
24-mar,0,1,0,0,2,0,Valle d'Aosta
25-mar,2,1,0,0,1,0,Valle d'Aosta
26-mar,2,-4,1,1,0,0,Valle d'Aosta
27-mar,1,8,0,1,1,0,Valle d'Aosta
28-mar,0,5,0,1,2,0,Valle d'Aosta
29-mar,1,1,1,1,2,0,Valle d'Aosta
30-mar,-1,7,3,1,3,1,Valle d'Aosta
31-mar,0,4,1,1,3,1,Valle d'Aosta
1-apr,1,0,0,1,3,1,Valle d'Aosta
2-apr,1,7,1,0,5,1,Valle d'Aosta
3-apr,2,-1,1,1,3,1,Valle d'Aosta
,,,,,,,
4-ott,2,0,1,2,0,1,Liguria
5-ott,1,13,0,2,7,1,Liguria
6-ott,-1,-2,2,1,4,1,Liguria
7-ott,1,18,2,1,7,1,Liguria
8-ott,4,-1,0,1,6,1,Liguria
9-ott,-2,4,1,1,5,1,Liguria
10-ott,0,23,2,1,8,1,Liguria
11-ott,0,16,2,0,10,1,Liguria
12-ott,-2,23,2,0,12,2,Liguria
13-ott,3,11,1,1,13,1,Liguria
14-ott,2,14,1,1,13,1,Liguria
15-ott,-3,30,3,0,17,2,Liguria
16-ott,6,31,6,1,21,2,Liguria
17-ott,6,17,1,2,20,2,Liguria
18-ott,1,38,3,2,23,2,Liguria
19-ott,-5,34,5,1,25,3,Liguria
20-ott,-2,69,6,1,33,4,Liguria
21-ott,-1,42,9,0,37,5,Liguria
22-ott,3,-7,17,1,32,7,Liguria
23-ott,-1,58,7,0,36,7,Liguria
24-ott,5,43,6,0,40,8,Liguria
25-ott,3,55,5,0,42,8,Liguria
26-ott,5,92,13,2,50,9,Liguria
27-ott,-1,49,14,2,47,10,Liguria
28-ott,1,41,15,2,47,11,Liguria
29-ott,4,29,9,2,52,10,Liguria
30-ott,2,41,7,3,50,10,Liguria
31-ott,5,88,25,3,56,13,Liguria
1-nov,6,44,7,3,55,13,Liguria
2-nov,-6,53,9,2,49,12,Liguria
3-nov,7,14,20,3,44,13,Liguria
4-nov,13,49,24,4,45,14,Liguria
5-nov,-1,40,29,4,47,17,Liguria
6-nov,2,79,16,4,52,19,Liguria
7-nov,-1,-12,35,3,38,20,Liguria
8-nov,4,31,2,3,36,19,Liguria
9-nov,11,53,21,5,36,21,Liguria
10-nov,0,-72,39,4,24,24,Liguria
11-nov,6,0,33,3,17,25,Liguria
12-nov,11,48,31,5,18,25,Liguria
13-nov,1,9,18,5,8,26,Liguria
14-nov,-2,30,30,4,14,25,Liguria
15-nov,7,-9,21,5,8,28,Liguria
16-nov,-4,-12,15,3,-1,27,Liguria
17-nov,6,12,20,4,11,24,Liguria
18-nov,1,-22,19,3,8,22,Liguria
19-nov,1,-52,15,1,-6,20,Liguria
20-nov,1,-29,29,1,-12,21,Liguria
21-nov,-1,-49,20,2,-23,20,Liguria
22-nov,3,12,14,1,-20,19,Liguria
23-nov,0,-5,20,2,-19,20,Liguria
24-nov,-1,-69,25,1,-31,20,Liguria
25-nov,2,-64,22,1,-37,21,Liguria
26-nov,-9,-40,14,-1,-35,21,Liguria
27-nov,-5,-56,14,-2,-39,18,Liguria
28-nov,8,-51,25,0,-39,19,Liguria
29-nov,-6,2,19,-2,-40,20,Liguria
30-nov,2,27,7,-1,-36,18,Liguria
1-dic,-8,6,17,-2,-25,17,Liguria
2-dic,-3,-40,19,-3,-22,16,Liguria
3-dic,0,-31,26,-2,-20,18,Liguria
4-dic,-3,-20,25,-1,-15,20,Liguria
5-dic,-6,-15,27,-3,-10,20,Liguria
6-dic,-1,-29,20,-3,-15,20,Liguria
7-dic,0,-1,23,-3,-19,22,Liguria
8-dic,-1,-26,19,-2,-23,23,Liguria
9-dic,-3,0,28,-2,-17,24,Liguria
10-dic,-3,-19,11,-2,-16,22,Liguria
11-dic,-1,-19,25,-2,-16,22,Liguria
12-dic,-7,-21,22,-2,-16,21,Liguria
13-dic,-2,-14,8,-2,-14,19,Liguria
14-dic,-2,12,17,-3,-12,19,Liguria
15-dic,-2,-12,20,-3,-10,19,Liguria
16-dic,0,-13,11,-2,-12,16,Liguria
17-dic,-2,-9,19,-2,-11,17,Liguria
18-dic,1,-30,30,-2,-12,18,Liguria
19-dic,1,-14,12,-1,-11,17,Liguria
20-dic,-1,-7,2,-1,-10,16,Liguria
21-dic,0,-7,14,0,-13,15,Liguria
22-dic,-5,12,16,-1,-10,15,Liguria
23-dic,-1,-11,21,-1,-9,16,Liguria
24-dic,0,-2,12,-1,-8,15,Liguria
25-dic,0,-24,11,-1,-8,13,Liguria
26-dic,2,9,2,-1,-4,11,Liguria
27-dic,0,23,2,-1,0,11,Liguria
28-dic,-5,23,6,-1,4,10,Liguria
29-dic,2,-7,15,0,2,10,Liguria
30-dic,0,1,13,0,3,9,Liguria
31-dic,2,-18,11,0,1,9,Liguria
1-gen,-2,-30,7,0,0,8,Liguria
2-gen,3,10,9,0,0,9,Liguria
3-gen,5,22,5,1,0,9,Liguria
4-gen,4,20,5,2,0,9,Liguria
5-gen,-2,-8,12,1,0,9,Liguria
6-gen,-8,-5,18,0,-1,10,Liguria
7-gen,-3,8,16,0,2,10,Liguria
8-gen,5,6,17,1,8,12,Liguria
9-gen,-2,-15,19,0,4,13,Liguria
10-gen,-1,7,11,-1,2,14,Liguria
11-gen,0,28,8,-2,3,14,Liguria
12-gen,1,-6,28,-1,3,17,Liguria
13-gen,-3,-42,18,0,-2,17,Liguria
14-gen,3,-11,10,0,-5,16,Liguria
15-gen,-6,-10,10,-1,-7,15,Liguria
16-gen,4,-15,20,0,-7,15,Liguria
17-gen,-1,4,12,0,-7,15,Liguria
18-gen,2,-3,12,0,-12,16,Liguria
19-gen,-4,-11,17,-1,-13,14,Liguria
20-gen,-1,0,24,0,-7,15,Liguria
21-gen,3,-8,14,0,-6,16,Liguria
22-gen,-1,-20,20,0,-8,17,Liguria
23-gen,4,-24,17,0,-9,17,Liguria
24-gen,-1,12,15,0,-8,17,Liguria
25-gen,3,19,6,0,-5,16,Liguria
26-gen,-2,-5,17,1,-4,16,Liguria
27-gen,3,-26,20,1,-7,16,Liguria
28-gen,-1,-3,22,1,-7,17,Liguria
29-gen,-3,3,25,0,-3,17,Liguria
30-gen,-2,-3,16,0,0,17,Liguria
31-gen,3,24,11,0,1,17,Liguria
1-feb,0,19,7,0,1,17,Liguria
2-feb,-1,-1,12,0,2,16,Liguria
3-feb,0,11,27,-1,7,17,Liguria
4-feb,0,-14,10,0,6,15,Liguria
5-feb,-2,4,9,0,6,13,Liguria
6-feb,-1,-22,28,0,3,15,Liguria
7-feb,0,-1,9,-1,-1,15,Liguria
8-feb,2,1,12,0,-3,15,Liguria
9-feb,0,7,10,0,-2,15,Liguria
10-feb,-1,-9,7,0,-5,12,Liguria
11-feb,0,-3,8,0,-3,12,Liguria
12-feb,-5,-7,8,-1,-5,12,Liguria
13-feb,-1,-36,8,-1,-7,9,Liguria
14-feb,6,30,8,0,-2,9,Liguria
15-feb,-1,3,7,0,-2,8,Liguria
16-feb,-2,-7,10,-1,-4,8,Liguria
17-feb,1,-18,11,0,-5,9,Liguria
18-feb,-1,-28,1,0,-9,8,Liguria
19-feb,-1,-18,15,0,-11,9,Liguria
20-feb,-5,-14,10,0,-7,9,Liguria
21-feb,1,7,4,-1,-11,8,Liguria
22-feb,2,-1,11,-1,-11,9,Liguria
23-feb,-3,-17,13,-1,-13,9,Liguria
24-feb,2,1,11,-1,-10,9,Liguria
25-feb,-3,-6,7,-1,-7,10,Liguria
26-feb,0,-2,5,-1,-5,9,Liguria
27-feb,-2,0,8,0,-3,8,Liguria
28-feb,2,9,2,0,-2,8,Liguria
1-mar,2,17,6,0,0,7,Liguria
2-mar,-4,3,8,0,3,7,Liguria
3-mar,3,6,15,0,4,7,Liguria
4-mar,2,9,7,0,6,7,Liguria
5-mar,1,-18,8,1,4,8,Liguria
6-mar,3,-11,7,1,2,8,Liguria
7-mar,2,1,6,1,1,8,Liguria
8-mar,2,7,2,1,0,8,Liguria
9-mar,-1,7,9,2,0,8,Liguria
10-mar,5,5,8,2,0,7,Liguria
11-mar,-3,-12,5,1,-3,6,Liguria
12-mar,0,-2,9,1,-1,7,Liguria
13-mar,0,0,8,1,1,7,Liguria
14-mar,-1,23,8,0,4,7,Liguria
15-mar,1,33,13,0,8,9,Liguria
16-mar,1,2,12,0,7,9,Liguria
17-mar,-2,4,8,-1,7,9,Liguria
18-mar,1,-7,11,0,8,10,Liguria
19-mar,-1,11,5,0,9,9,Liguria
20-mar,2,7,5,0,10,9,Liguria
21-mar,-6,1,5,-1,7,8,Liguria
22-mar,-1,16,8,-1,5,8,Liguria
23-mar,7,2,6,0,5,7,Liguria
24-mar,-2,-7,8,0,3,7,Liguria
25-mar,2,-8,10,0,3,7,Liguria
26-mar,2,16,6,1,4,7,Liguria
27-mar,-1,14,8,0,5,7,Liguria
28-mar,1,17,6,1,7,7,Liguria
29-mar,5,5,4,2,6,7,Liguria
30-mar,-2,-2,14,1,5,8,Liguria
31-mar,-2,3,14,1,6,9,Liguria
1-apr,3,6,10,1,8,9,Liguria
2-apr,1,2,8,1,6,9,Liguria
3-apr,6,2,1,2,5,8,Liguria
,,,,,,,
4-ott,0,1,0,0,1,0,Trento
5-ott,0,0,0,0,1,0,Trento
6-ott,0,5,0,0,2,0,Trento
7-ott,0,-4,0,0,1,0,Trento
8-ott,0,0,0,0,0,0,Trento
9-ott,0,2,0,0,1,0,Trento
10-ott,0,-1,2,0,0,0,Trento
11-ott,0,0,0,0,0,0,Trento
12-ott,0,0,1,0,0,0,Trento
13-ott,0,1,2,0,0,1,Trento
14-ott,0,0,2,0,0,1,Trento
15-ott,0,0,2,0,0,1,Trento
16-ott,0,0,1,0,0,1,Trento
17-ott,0,7,1,0,1,1,Trento
18-ott,0,11,0,0,3,1,Trento
19-ott,0,6,1,0,4,1,Trento
20-ott,1,1,0,0,4,1,Trento
21-ott,1,3,2,0,4,1,Trento
22-ott,-1,9,3,0,5,1,Trento
23-ott,2,8,0,0,6,1,Trento
24-ott,1,-6,1,1,5,1,Trento
25-ott,0,13,1,1,5,1,Trento
26-ott,1,9,1,1,5,1,Trento
27-ott,0,3,1,1,6,1,Trento
28-ott,1,10,5,1,7,2,Trento
29-ott,3,15,3,1,7,2,Trento
30-ott,0,9,2,1,8,2,Trento
31-ott,0,3,1,1,9,2,Trento
1-nov,0,31,3,1,11,2,Trento
2-nov,2,26,3,1,14,3,Trento
3-nov,1,22,3,1,17,3,Trento
4-nov,-1,11,4,1,17,3,Trento
5-nov,4,13,3,1,16,3,Trento
6-nov,2,2,5,1,15,3,Trento
7-nov,1,17,5,1,17,4,Trento
8-nov,2,12,1,2,15,3,Trento
9-nov,4,20,6,2,14,4,Trento
10-nov,4,15,6,2,13,4,Trento
11-nov,3,17,8,3,14,5,Trento
12-nov,-1,31,8,2,16,6,Trento
13-nov,0,15,12,2,18,7,Trento
14-nov,1,2,11,2,16,7,Trento
15-nov,2,15,8,2,16,8,Trento
16-nov,-1,16,15,1,16,10,Trento
17-nov,3,2,3,1,14,9,Trento
18-nov,3,10,7,1,13,9,Trento
19-nov,1,9,7,1,10,9,Trento
20-nov,-1,10,7,1,9,8,Trento
21-nov,2,-4,14,1,8,9,Trento
22-nov,1,7,1,1,7,8,Trento
23-nov,2,13,7,2,7,7,Trento
24-nov,-1,3,14,1,7,8,Trento
25-nov,-1,-15,7,0,3,8,Trento
26-nov,2,-4,9,1,1,8,Trento
27-nov,1,-9,8,1,-1,9,Trento
28-nov,-2,-4,6,0,-1,7,Trento
29-nov,2,0,12,0,-2,9,Trento
30-nov,0,11,13,0,-3,10,Trento
1-dic,0,-9,8,0,-4,9,Trento
2-dic,3,6,3,1,-1,8,Trento
3-dic,-2,-8,9,0,-2,8,Trento
4-dic,2,11,6,0,1,8,Trento
5-dic,1,-11,9,1,0,9,Trento
6-dic,0,10,2,1,1,7,Trento
7-dic,0,9,16,1,1,8,Trento
8-dic,0,3,12,1,3,8,Trento
9-dic,0,4,16,0,3,10,Trento
10-dic,0,1,9,0,4,10,Trento
11-dic,-1,-20,10,0,-1,11,Trento
12-dic,-3,-8,11,-1,0,11,Trento
13-dic,4,10,2,0,0,11,Trento
14-dic,5,10,14,1,0,11,Trento
15-dic,0,-11,14,1,-2,11,Trento
16-dic,-3,2,13,0,-2,10,Trento
17-dic,-2,-6,13,0,-3,11,Trento
18-dic,2,-30,14,0,-5,12,Trento
19-dic,0,0,4,1,-4,11,Trento
20-dic,-1,3,3,0,-5,11,Trento
21-dic,0,1,13,-1,-6,11,Trento
22-dic,0,-18,13,-1,-7,10,Trento
23-dic,-2,-18,10,0,-10,10,Trento
24-dic,2,-20,9,0,-12,9,Trento
25-dic,0,-20,5,0,-10,8,Trento
26-dic,-1,25,5,0,-7,8,Trento
27-dic,-3,25,5,-1,-4,9,Trento
28-dic,0,18,12,-1,-1,8,Trento
29-dic,1,6,12,0,2,8,Trento
30-dic,-1,0,7,0,5,8,Trento
31-dic,-3,0,9,-1,8,8,Trento
1-gen,-3,-18,10,-1,8,9,Trento
2-gen,2,7,6,-1,5,9,Trento
3-gen,3,13,3,0,4,8,Trento
4-gen,-1,-3,15,0,1,9,Trento
5-gen,2,-8,8,0,-1,8,Trento
6-gen,0,-12,5,0,-3,8,Trento
7-gen,2,2,5,1,-3,7,Trento
8-gen,-1,-6,4,1,-1,7,Trento
9-gen,2,-22,8,1,-5,7,Trento
10-gen,-2,10,7,0,-6,7,Trento
11-gen,-1,7,6,0,-4,6,Trento
12-gen,-2,-7,10,0,-4,6,Trento
13-gen,1,-23,8,0,-6,7,Trento
14-gen,-2,-4,4,-1,-6,7,Trento
15-gen,0,-12,10,-1,-7,8,Trento
16-gen,4,-17,7,0,-7,7,Trento
17-gen,1,-2,4,0,-8,7,Trento
18-gen,-1,2,14,0,-9,8,Trento
19-gen,0,-16,5,0,-10,7,Trento
20-gen,-4,-16,4,0,-9,7,Trento
21-gen,1,-19,7,0,-11,7,Trento
22-gen,-2,-17,1,0,-12,6,Trento
23-gen,2,-16,6,0,-12,6,Trento
24-gen,0,4,32,-1,-11,10,Trento
25-gen,-2,8,3,-1,-10,8,Trento
26-gen,-5,1,7,-1,-8,9,Trento
27-gen,-1,-15,2,-1,-8,8,Trento
28-gen,-1,-10,0,-1,-6,7,Trento
29-gen,0,-4,1,-1,-5,7,Trento
30-gen,1,-14,2,-1,-4,7,Trento
31-gen,0,5,1,-1,-4,2,Trento
1-feb,0,2,0,-1,-5,2,Trento
2-feb,-1,-6,3,0,-6,1,Trento
3-feb,-1,-16,3,0,-6,1,Trento
4-feb,-1,-14,5,0,-7,2,Trento
5-feb,0,-2,0,0,-6,2,Trento
6-feb,-4,-11,2,-1,-6,2,Trento
7-feb,-2,5,5,-1,-6,3,Trento
8-feb,2,5,5,-1,-6,3,Trento
9-feb,1,3,3,-1,-4,3,Trento
10-feb,0,-2,1,-1,-2,3,Trento
11-feb,0,10,1,0,1,2,Trento
12-feb,-1,0,1,-1,1,3,Trento
13-feb,-2,4,0,0,4,2,Trento
14-feb,0,8,1,0,4,2,Trento
15-feb,1,10,2,0,5,1,Trento
16-feb,0,-6,4,0,3,1,Trento
17-feb,-1,-6,4,0,3,2,Trento
18-feb,1,10,2,0,3,2,Trento
19-feb,-2,0,4,0,3,2,Trento
20-feb,2,-10,1,0,1,3,Trento
21-feb,2,5,0,0,0,2,Trento
22-feb,1,8,2,0,0,2,Trento
23-feb,2,-1,1,1,1,2,Trento
24-feb,3,-4,3,1,1,2,Trento
25-feb,1,-2,3,1,-1,2,Trento
26-feb,2,5,1,2,0,2,Trento
27-feb,0,0,2,2,2,2,Trento
28-feb,1,12,0,1,3,2,Trento
1-mar,3,5,2,2,2,2,Trento
2-mar,0,1,1,1,2,2,Trento
3-mar,5,-9,2,2,2,2,Trento
4-mar,-1,-2,2,1,2,1,Trento
5-mar,2,-1,3,1,1,2,Trento
6-mar,0,6,4,1,2,2,Trento
7-mar,0,3,2,1,0,2,Trento
8-mar,0,11,4,1,1,3,Trento
9-mar,1,0,1,1,1,3,Trento
10-mar,0,2,5,0,3,3,Trento
11-mar,0,-3,1,0,3,3,Trento
12-mar,-3,-4,1,0,2,3,Trento
13-mar,-1,-2,2,0,1,2,Trento
14-mar,2,8,1,0,2,2,Trento
15-mar,1,13,4,0,2,2,Trento
16-mar,4,-6,2,0,1,2,Trento
17-mar,2,-8,3,1,0,2,Trento
18-mar,1,5,3,1,1,2,Trento
19-mar,0,-1,3,1,1,3,Trento
20-mar,-3,0,2,1,2,3,Trento
21-mar,0,11,1,1,2,3,Trento
22-mar,1,-3,6,1,0,3,Trento
23-mar,-1,-6,4,0,0,3,Trento
24-mar,-5,3,3,-1,1,3,Trento
25-mar,-2,-5,0,-1,0,3,Trento
26-mar,-1,-9,5,-2,-1,3,Trento
27-mar,0,9,3,-1,0,3,Trento
28-mar,1,3,1,-1,-1,3,Trento
29-mar,1,11,1,-1,1,2,Trento
30-mar,2,-13,4,-1,0,2,Trento
31-mar,3,-3,0,1,-1,2,Trento
1-apr,-4,1,4,0,0,3,Trento
2-apr,4,-13,3,1,-1,2,Trento
3-apr,0,-10,6,1,-3,3,Trento
,,,,,,,
4-ott,0,0,0,0,0,0,Bolzano
5-ott,0,-7,0,0,-4,0,Bolzano
6-ott,0,0,0,0,-2,0,Bolzano
7-ott,1,0,0,0,-2,0,Bolzano
8-ott,0,9,0,0,0,0,Bolzano
9-ott,1,5,0,0,1,0,Bolzano
10-ott,0,0,0,0,1,0,Bolzano
11-ott,-1,0,1,0,1,0,Bolzano
12-ott,1,7,0,0,3,0,Bolzano
13-ott,1,12,0,0,5,0,Bolzano
14-ott,0,0,0,0,5,0,Bolzano
15-ott,0,6,0,0,4,0,Bolzano
16-ott,3,6,0,1,4,0,Bolzano
17-ott,0,0,0,1,4,0,Bolzano
18-ott,1,1,0,1,5,0,Bolzano
19-ott,0,0,1,1,4,0,Bolzano
20-ott,0,29,1,1,6,0,Bolzano
21-ott,0,0,1,1,6,0,Bolzano
22-ott,1,10,0,1,7,0,Bolzano
23-ott,0,0,0,0,6,0,Bolzano
24-ott,4,27,0,1,10,0,Bolzano
25-ott,-1,14,0,1,11,0,Bolzano
26-ott,1,5,3,1,12,1,Bolzano
27-ott,0,17,1,1,10,1,Bolzano
28-ott,3,12,4,1,12,1,Bolzano
29-ott,0,12,2,1,12,1,Bolzano
30-ott,3,40,2,1,18,2,Bolzano
31-ott,0,4,4,1,15,2,Bolzano
1-nov,-1,36,3,1,18,3,Bolzano
2-nov,6,20,4,2,20,3,Bolzano
3-nov,5,-6,1,2,17,3,Bolzano
4-nov,5,22,2,3,18,3,Bolzano
5-nov,0,26,4,3,20,3,Bolzano
6-nov,2,21,4,2,18,3,Bolzano
7-nov,1,5,7,3,18,4,Bolzano
8-nov,3,37,4,3,18,4,Bolzano
9-nov,2,13,4,3,17,4,Bolzano
10-nov,-4,16,5,1,20,4,Bolzano
11-nov,0,0,9,1,17,5,Bolzano
12-nov,5,21,6,1,16,6,Bolzano
13-nov,-1,5,9,1,14,6,Bolzano
14-nov,3,3,5,1,14,6,Bolzano
15-nov,-1,23,19,1,12,8,Bolzano
16-nov,0,8,7,0,11,9,Bolzano
