Data,CASI,VARIAZIONI,1,2,3,4,5,Regione
11-mag,98,-21.3,0,0,100,0,0,Lombardia
12-mag,94,-18.3,0,0,100,0,0,Lombardia
13-mag,87,-23.9,0,0,100,0,0,Lombardia
14-mag,81,-26.2,0,0,100,0,0,Lombardia
15-mag,76,-26.4,0,0,100,0,0,Lombardia
16-mag,71,-31.8,0,0,100,0,0,Lombardia
17-mag,72,-30.5,0,0,100,0,0,Lombardia
18-mag,70,-28.4,0,0,100,0,0,Lombardia
19-mag,67,-28.5,0,0,100,0,0,Lombardia
20-mag,63,-26.8,0,0,100,0,0,Lombardia
21-mag,60.3,-25.2,0,0,100,0,0,Lombardia
22-mag,57,-25.3,0,0,100,0,0,Lombardia
23-mag,56.2,-20.9,0,0,100,0,0,Lombardia
24-mag,51.9,-27.8,0,0,100,0,0,Lombardia
25-mag,51,-27.2,0,0,100,0,0,Lombardia
26-mag,48.2,-28.4,0,0,100,0,0,Lombardia
27-mag,45.6,-28.1,0,0,100,0,0,Lombardia
28-mag,43.7,-27.5,0,0,100,0,0,Lombardia
29-mag,41.6,-27,0,0,100,0,0,Lombardia
30-mag,39.1,-30.4,0,0,100,0,0,Lombardia
31-mag,37.9,-26.9,0,0,100,0,0,Lombardia
1-giu,37.5,-26.4,0,0,100,0,0,Lombardia
2-giu,36,-25.3,0,0,100,0,0,Lombardia
3-giu,31.4,-31.2,0,0,100,0,0,Lombardia
4-giu,28.9,-33.8,0,0,100,0,0,Lombardia
5-giu,27.1,-35,0,0,100,0,0,Lombardia
6-giu,26.1,-33.3,0,0,100,0,0,Lombardia
7-giu,26.2,-30.9,0,0,100,0,0,Lombardia
8-giu,24.5,-34.7,0,0,100,0,0,Lombardia
9-giu,22.5,-37.5,0,0,100,0,0,Lombardia
10-giu,23.3,-25.9,0,0,100,0,0,Lombardia
11-giu,21.8,-24.7,0,0,100,0,0,Lombardia
12-giu,20,-26.3,0,0,100,0,0,Lombardia
13-giu,19,-27.4,0,0,100,0,0,Lombardia
14-giu,18.6,-29.2,0,0,0,0,100,Lombardia
15-giu,17.5,-28.7,0,0,0,0,100,Lombardia
16-giu,16.8,-25.4,0,0,0,0,100,Lombardia
17-giu,15.6,-33,0,0,0,0,100,Lombardia
18-giu,14,-35.6,0,0,0,0,100,Lombardia
19-giu,13.3,-33.4,0,0,0,0,100,Lombardia
20-giu,12.2,-35.7,0,0,0,0,100,Lombardia
21-giu,12,-35.4,0,0,0,0,100,Lombardia
22-giu,11.4,-34.5,0,0,0,0,100,Lombardia
