Rtmax,Rtmin,Varmax,Varmin,Vmax,Vmin,%RtMax,%RtMin,%Vmax,%Vmin,NV%max,NV%min,Data,Casi per 100.000 ab. in 7 giorni,Variazioni % in 7 giorni,Rt,,Settimana,Rt puntuale,calcolato al,,Regione,ShowCasi,Casi,,,
,,,,,,,,,,,,27-gen,144,-8.5,,25,dal 30/12 al 12/1,,,26,Italia,20.34115479,,,,
,,,,,,,,,,,,28-gen,145,-5.1,,25,dal 30/12 al 12/1,,,26,Italia,20.66609337,,,,
,,,,,,,,,,,,,,,,25,,,,26,,,,,,
,,,,,,,,,,,,,,,,25,,,,26,,,,,,
,,,,,,,,,,,,,,,,25,,,,26,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2.09,0.74,213.8,-50.99816514,213.8,-41,80.74074074,19.25925926,83.90894819,16.09105181,80.74074074,19.25925926,18-set,15,-11.1,0.74,4,dal 27/8 al 9/9,,,13,Lombardia,-44.51860155,213.8,,,
,,,,,,,,,,,,19-set,15,-6,,4,dal 27/8 al 9/9,,,13,Lombardia,-44.51860155,,,,
,,,,,,,,,,,,20-set,14,-13.2,,4,dal 27/8 al 9/9,,,13,Lombardia,-44.95057246,,,,
,,,,,,,,,,,,21-set,14,-16.1,,4,dal 27/8 al 9/9,,,13,Lombardia,-44.95057246,,,,
,,,,,,,,,,,,22-set,14,-10.6,,4,dal 27/8 al 9/9,,,13,Lombardia,-44.95057246,,,,
,,,,,,,,,,,,23-set,14,-4.6,,4,dal 27/8 al 9/9,,,13,Lombardia,-44.95057246,,,,
,,,,,,,,,,,,24-set,14,-10.2,,4,dal 27/8 al 9/9,,,13,Lombardia,-44.95057246,,,,
,,,,,,,,,,,,25-set,14,-4.7,0.75,4,dal 3/9 al 16/9,,,13,Lombardia,-44.95057246,,,,
,,,,,,,,,,,,26-set,14,-2.2,,4,dal 3/9 al 16/9,,,13,Lombardia,-44.95057246,,,,
,,,,,,,,,,,,27-set,14,1.9,,4,dal 3/9 al 16/9,,,13,Lombardia,-44.95057246,,,,
,,,,,,,,,,,,28-set,15,6.6,,4,dal 3/9 al 16/9,,,13,Lombardia,-44.51860155,,,,
,,,,,,,,,,,,29-set,15,7.6,,4,dal 3/9 al 16/9,,,13,Lombardia,-44.51860155,,,,
,,,,,,,,,,,,30-set,15,5.2,,4,dal 3/9 al 16/9,,,13,Lombardia,-44.51860155,,,,
,,,,,,,,,,,,1-ott,16,16.1,,4,dal 3/9 al 16/9,,,13,Lombardia,-44.08663065,,,,
,,,,,,,,,,,,2-ott,16,13.9,0.86,4,dal 10/9 al 23/9,,,13,Lombardia,-44.08663065,,,,
,,,,,,,,,,,,3-ott,18,22.3,,4,dal 10/9 al 23/9,,,13,Lombardia,-43.22268884,,,,
,,,,,,,,,,,,4-ott,18,28.7,,4,dal 10/9 al 23/9,,,13,Lombardia,-43.22268884,,,,
,,,,,,,,,,,,5-ott,20,35.1,,4,dal 10/9 al 23/9,,,13,Lombardia,-42.35874703,,,,
,,,,,,,,,,,,6-ott,21,43,,4,dal 10/9 al 23/9,,,13,Lombardia,-41.92677612,,,,
,,,,,,,,,,,,7-ott,24,63.8,,4,dal 10/9 al 23/9,,,13,Lombardia,-40.6308634,,,,
,,,,,,,,,,,,8-ott,28,76.6,,4,dal 10/9 al 23/9,,,13,Lombardia,-38.90297978,,,,
,,,,,,,,,,,,9-ott,35,114.9,0.95,4,dal 17/9 al 30/9,,,13,Lombardia,-35.87918344,,,,
,,,,,,,,,,,,10-ott,42,140.6,,4,dal 17/9 al 30/9,,,13,Lombardia,-32.8553871,,,,
,,,,,,,,,,,,11-ott,49,166.5,,4,dal 17/9 al 30/9,,,13,Lombardia,-29.83159076,,,,
,,,,,,,,,,,,12-ott,54,171.1,,4,dal 17/9 al 30/9,,,13,Lombardia,-27.67173623,,,,
,,,,,,,,,,,,13-ott,61,186.6,,4,dal 17/9 al 30/9,,,13,Lombardia,-24.6479399,,,,
,,,,,,,,,,,,14-ott,74,203.3,,4,dal 17/9 al 30/9,,,13,Lombardia,-19.03231812,,,,
,,,,,,,,,,,,15-ott,88,213.8,1.15,4,dal 24/9 al 7/10,,,13,Lombardia,-12.98472544,,,,
,,,,,,,,,,,,16-ott,102,194.2,,4,dal 24/9 al 7/10,,,13,Lombardia,-6.937132766,,,,
,,,,,,,,,,,,17-ott,117,178.3,,4,dal 24/9 al 7/10,,,13,Lombardia,-0.457569181,,,,
,,,,,,,,,,,,18-ott,137,177.2,,4,dal 24/9 al 7/10,,,13,Lombardia,8.181848931,,,,
,,,,,,,,,,,,19-ott,146,172.7,,4,dal 24/9 al 7/10,,,13,Lombardia,12.06958708,,,,
,,,,,,,,,,,,20-ott,156,155.6,,4,dal 24/9 al 7/10,,,13,Lombardia,16.38929614,,,,
,,,,,,,,,,,,21-ott,179,140.8,,4,dal 24/9 al 7/10,,,13,Lombardia,26.32462697,,,,
,,,,,,,,,,,,22-ott,199,126.4,,4,dal 24/9 al 7/10,,,13,Lombardia,34.96404508,,,,
,,,,,,,,,,,,23-ott,224,119.1,1.64,4,dal 1/10 al 14/10,,,13,Lombardia,45.76331772,,,,
,,,,,,,,,,,,24-ott,247,110.2,,4,dal 1/10 al 14/10,,,13,Lombardia,55.69864855,,,,
,,,,,,,,,,,,25-ott,274,100.8,,4,dal 1/10 al 14/10,,,13,Lombardia,67.361863,,,,
,,,,,,,,,,,,26-ott,293,100,,4,dal 1/10 al 14/10,,,13,Lombardia,75.56931021,,,,
,,,,,,,,,,,,27-ott,323,107.2,,4,dal 1/10 al 14/10,,,13,Lombardia,88.52843737,,,,
,,,,,,,,,,,,28-ott,357,100,,4,dal 1/10 al 14/10,,,13,Lombardia,103.2154482,,,,
,,,,,,,,,,,,29-ott,389,95.5,,4,dal 1/10 al 14/10,,,13,Lombardia,117.0385171,,,,
,,,,,,,,,,,,30-ott,429,91.8,2.09,4,dal 8/10 al 21/10,,,13,Lombardia,134.3173534,,,,
,,,,,,,,,,,,31-ott,469,90,,4,dal 8/10 al 21/10,,,13,Lombardia,151.5961896,,,,
,,,,,,,,,,,,1-nov,497,81.2,,4,dal 8/10 al 21/10,,,13,Lombardia,163.6913749,,,,
,,,,,,,,,,,,2-nov,514,75.4,,4,dal 8/10 al 21/10,,,13,Lombardia,171.0348803,,,,
,,,,,,,,,,,,3-nov,531,64.6,,4,dal 8/10 al 21/10,,,13,Lombardia,178.3783857,,,,
,,,,,,,,,,,,4-nov,533,49.4,,4,dal 8/10 al 21/10,,,13,Lombardia,179.2423276,,,,
,,,,,,,,,,,,5-nov,548,40.9,,4,dal 8/10 al 21/10,2.01,14/10,13,Lombardia,185.7218911,,,,
,,,,,,,,,,,,6-nov,558,30,,4,dal 8/10 al 21/10,,,13,Lombardia,190.0416002,,,,
,,,,,,,,,,,,7-nov,583,24.5,,4,dal 8/10 al 21/10,,,13,Lombardia,200.8408728,,,,
,,,,,,,,,,,,8-nov,561,12.8,,4,dal 8/10 al 21/10,,,13,Lombardia,191.3375129,,,,
,,,,,,,,,,,,9-nov,556,8.1,2.08,4,dal 15/10 al 28/10,1.99,21/10,13,Lombardia,189.1776584,,,,
,,,,,,,,,,,,10-nov,597,12.3,,4,dal 15/10 al 28/10,,,13,Lombardia,206.8884655,,,,
,,,,,,,,,,,,11-nov,601,12.7,,4,dal 15/10 al 28/10,,,13,Lombardia,208.6163491,,,,
,,,,,,,,,,,,12-nov,606,10.5,,4,dal 15/10 al 28/10,,,13,Lombardia,210.7762037,,,,
,,,,,,,,,,,,13-nov,613,9.8,1.61,4,dal 22/10 al 4/11,1.46,28/10,13,Lombardia,213.8,,,,
,,,,,,,,,,,,14-nov,579,-0.7,,4,dal 22/10 al 4/11,,,13,Lombardia,199.1129892,,,,
,,,,,,,,,,,,15-nov,597,6.4,,4,dal 22/10 al 4/11,,,13,Lombardia,206.8884655,,,,
,,,,,,,,,,,,16-nov,590,6.2,,4,dal 22/10 al 4/11,,,13,Lombardia,203.8646692,,,,
,,,,,,,,,,,,17-nov,565,-5.3,,4,dal 22/10 al 4/11,,,13,Lombardia,193.0653965,,,,
,,,,,,,,,,,,18-nov,560,-6.9,,4,dal 22/10 al 4/11,,,13,Lombardia,190.905542,,,,
,,,,,,,,,,,,19-nov,542,-10.6,,4,dal 22/10 al 4/11,,,13,Lombardia,183.1300657,,,,
,,,,,,,,,,,,20-nov,528,-13.9,1.25,4,dal 28/10 al 10/11,1.15,4/11,13,Lombardia,177.082473,,,,
,,,,,,,,,,,,21-nov,535,-7.7,,4,dal 28/10 al 10/11,,,13,Lombardia,180.1062694,,,,
,,,,,,,,,,,,22-nov,505,-15.3,,4,dal 28/10 al 10/11,,,13,Lombardia,167.1471422,,,,
,,,,,,,,,,,,23-nov,517,-12.4,,4,dal 28/10 al 10/11,,,13,Lombardia,172.3307931,,,,
,,,,,,,,,,,,24-nov,481,-14.8,,4,dal 28/10 al 10/11,,,13,Lombardia,156.7798405,,,,
,,,,,,,,,,,,25-nov,457,-18.4,,4,dal 28/10 al 10/11,,,13,Lombardia,146.4125387,,,,
,,,,,,,,,,,,26-nov,439,-18.9,,4,dal 28/10 al 10/11,,,13,Lombardia,138.6370624,,,,
,,,,,,,,,,,,27-nov,401,-23.9,1.24,4,dal 4/11 al 17/11,1.17,11/11,13,Lombardia,122.222168,,,,
,,,,,,,,,,,,28-nov,359,-32.8,,4,dal 4/11 al 17/11,,,13,Lombardia,104.07939,,,,
,,,,,,,,,,,,29-nov,340,-32.6,,4,dal 4/11 al 17/11,,,13,Lombardia,95.87194277,,,,
,,,,,,,,,,,,30-nov,307,-40.6,,4,dal 4/11 al 17/11,,,13,Lombardia,81.61690288,,,,
,,,,,,,,,,,,1-dic,299,-37.9,,4,dal 4/11 al 17/11,,,13,Lombardia,78.16113564,,,,
,,,,,,,,,,,,2-dic,281,-38.4,,4,dal 4/11 al 17/11,,,13,Lombardia,70.38565934,,,,
,,,,,,,,,,,,3-dic,262,-40.4,,4,dal 4/11 al 17/11,,,13,Lombardia,62.17821213,,,,
,,,,,,,,,,,,4-dic,254,-36.8,0.97,4,dal 11/11 al 24/11,0.93,18/11,13,Lombardia,58.72244489,,,,
,,,,,,,,,,,,5-dic,239,-33.5,,4,dal 11/11 al 24/11,,,13,Lombardia,52.2428813,,,,
,,,,,,,,,,,,6-dic,231,-32.1,,4,dal 11/11 al 24/11,,,13,Lombardia,48.78711406,,,,
,,,,,,,,,,,,7-dic,227,-25.9,,4,dal 11/11 al 24/11,,,13,Lombardia,47.05923044,,,,
,,,,,,,,,,,,8-dic,204,-31.8,,4,dal 11/11 al 24/11,,,13,Lombardia,37.12389961,,,,
,,,,,,,,,,,,9-dic,182,-35.4,,4,dal 11/11 al 24/11,,,13,Lombardia,27.62053968,,,,
,,,,,,,,,,,,10-dic,165,-36.9,,4,dal 11/11 al 24/11,,,13,Lombardia,20.27703429,,,,
,,,,,,,,,,,,11-dic,150,-41,0.85,4,dal 18/11 al 1/12,0.82,25/11,13,Lombardia,13.7974707,,,,
,,,,,,,,,,,,12-dic,145,-39.1,,4,dal 18/11 al 1/12,,,13,Lombardia,11.63761618,,,,
,,,,,,,,,,,,13-dic,145,-37.4,,4,dal 18/11 al 1/12,,,13,Lombardia,11.63761618,,,,
,,,,,,,,,,,,14-dic,139,-39.1,,4,dal 18/11 al 1/12,,,13,Lombardia,9.045790742,,,,
,,,,,,,,,,,,15-dic,146,-28.3,,4,dal 18/11 al 1/12,,,13,Lombardia,12.06958708,,,,
,,,,,,,,,,,,16-dic,163,-10.1,,4,dal 18/11 al 1/12,,,13,Lombardia,19.41309248,,,,
,,,,,,,,,,,,17-dic,170,2.7,,4,dal 18/11 al 1/12,,,13,Lombardia,22.43688882,,,,
,,,,,,,,,,,,18-dic,168,12.3,1,4,dal 25/11 al 8/12,1.02,2/12,13,Lombardia,21.572947,,,,
,,,,,,,,,,,,19-dic,160,10,,4,dal 25/11 al 8/12,,,13,Lombardia,18.11717976,,,,
,,,,,,,,,,,,20-dic,155,6.9,,4,dal 25/11 al 8/12,,,13,Lombardia,15.95732523,,,,
