Rtmax,Rtmin,Varmax,Varmin,Vmax,Vmin,%RtMax,%RtMin,%Vmax,%Vmin,NV%max,NV%min,Data,Casi per 100.000 ab. in 7 giorni,Variazioni % in 7 giorni,Rt,,Settimana,Rt puntuale,calcolato al,,Regione,ShowCasi,Casi,,,
,,,,,,,,,,,,13-dic,106,-32.5,,14,dal 18/11 al 1/12,,,22,Toscana,-11.45111488,,,,
,,,,,,,,,,,,14-dic,102,-31.5,,14,dal 18/11 al 1/12,,,22,Toscana,-13.36104252,,,,
,,,,,,,,,,,,15-dic,99,-30.4,,14,dal 18/11 al 1/12,,,22,Toscana,-14.79348826,,,,
,,,,,,,,,,,,16-dic,99,-27,,14,dal 18/11 al 1/12,,,22,Toscana,-14.79348826,,,,
,,,,,,,,,,,,17-dic,102,-17.9,,14,dal 18/11 al 1/12,,,22,Toscana,-13.36104252,,,,
,,,,,,,,,,,,18-dic,98,-13.2,0.7,14,dal 25/11 al 8/12,0.68,2/12,22,Toscana,-15.27097017,,,,
,,,,,,,,,,,,19-dic,97,-9.9,,14,dal 25/11 al 8/12,,,22,Toscana,-15.74845208,,,,
,,,,,,,,,,,,20-dic,92,-12.9,,14,dal 25/11 al 8/12,,,22,Toscana,-18.13586164,,,,
,,,,,,,,,,,,21-dic,92,-9.3,,14,dal 25/11 al 8/12,,,22,Toscana,-18.13586164,,,,
,,,,,,,,,,,,22-dic,92,-7.6,,14,dal 25/11 al 8/12,,,22,Toscana,-18.13586164,,,,
,,,,,,,,,,,,23-dic,90,-8.6,,14,dal 25/11 al 8/12,,,22,Toscana,-19.09082547,,,,
,,,,,,,,,,,,24-dic,88,-13.4,0.71,14,dal 1/12 al 14/12,0.7,8/12,22,Toscana,-20.04578929,,,,
,,,,,,,,,,,,25-dic,91,-7.3,,14,dal 1/12 al 14/12,,,22,Toscana,-18.61334355,,,,
,,,,,,,,,,,,26-dic,87,-10.3,,14,dal 1/12 al 14/12,,,22,Toscana,-20.5232712,,,,
,,,,,,,,,,,,27-dic,80,-12.7,,14,dal 1/12 al 14/12,,,22,Toscana,-23.86564458,,,,
,,,,,,,,,,,,28-dic,73,-20.8,,14,dal 1/12 al 14/12,,,22,Toscana,-27.20801797,,,,
,,,,,,,,,,,,29-dic,72,-21.4,,14,dal 1/12 al 14/12,,,22,Toscana,-27.68549988,,,,
,,,,,,,,,,,,30-dic,73,-19.4,0.79,14,dal 8/12 al 21/12,0.79,15/12,22,Toscana,-27.20801797,,,,
,,,,,,,,,,,,31-dic,75,-15.5,,14,dal 8/12 al 21/12,,,22,Toscana,-26.25305414,,,,
,,,,,,,,,,,,1-gen,74,-18.6,,14,dal 8/12 al 21/12,,,22,Toscana,-26.73053606,,,,
,,,,,,,,,,,,2-gen,77,-12.3,,14,dal 8/12 al 21/12,,,22,Toscana,-25.29809032,,,,
,,,,,,,,,,,,3-gen,80,-0.5,,14,dal 8/12 al 21/12,,,22,Toscana,-23.86564458,,,,
,,,,,,,,,,,,4-gen,84,14.2,,14,dal 8/12 al 21/12,,,22,Toscana,-21.95571694,,,,
,,,,,,,,,,,,5-gen,85,18.3,,14,dal 8/12 al 21/12,,,22,Toscana,-21.47823503,,,,
,,,,,,,,,,,,6-gen,84,15.4,,14,dal 8/12 al 21/12,,,22,Toscana,-21.95571694,,,,
,,,,,,,,,,,,7-gen,85,13.8,,14,dal 8/12 al 21/12,,,22,Toscana,-21.47823503,,,,
,,,,,,,,,,,,8-gen,81,9.8,0.91,14,dal 15/12 al 28/12,0.9,22/12,22,Toscana,-23.38816267,,,,
,,,,,,,,,,,,9-gen,82,7.2,,14,dal 15/12 al 28/12,,,22,Toscana,-22.91068076,,,,
,,,,,,,,,,,,10-gen,85,6.5,,14,dal 15/12 al 28/12,,,22,Toscana,-21.47823503,,,,
,,,,,,,,,,,,11-gen,87,4.1,,14,dal 15/12 al 28/12,,,22,Toscana,-20.5232712,,,,
,,,,,,,,,,,,12-gen,86,0.9,,14,dal 15/12 al 28/12,,,22,Toscana,-21.00075311,,,,
,,,,,,,,,,,,13-gen,89,5.6,,14,dal 15/12 al 28/12,,,22,Toscana,-19.56830738,,,,
,,,,,,,,,,,,14-gen,82,-3.3,,14,dal 15/12 al 28/12,,,22,Toscana,-22.91068076,,,,
,,,,,,,,,,,,15-gen,82,0.9,1.02,14,dal 23/12 al 5/1,1.01,30/12,22,Toscana,-22.91068076,,,,
,,,,,,,,,,,,16-gen,80,-3.2,,14,dal 23/12 al 5/1,,,22,Toscana,-23.86564458,,,,
,,,,,,,,,,,,17-gen,78,-8.8,,14,dal 23/12 al 5/1,,,22,Toscana,-24.82060841,,,,
,,,,,,,,,,,,18-gen,77,-11.7,,14,dal 23/12 al 5/1,,,22,Toscana,-25.29809032,,,,
,,,,,,,,,,,,19-gen,75,-12.7,,14,dal 23/12 al 5/1,,,22,Toscana,-26.25305414,,,,
,,,,,,,,,,,,20-gen,73,-17.2,,14,dal 23/12 al 5/1,,,22,Toscana,-27.20801797,,,,
,,,,,,,,,,,,21-gen,76,-8,,14,dal 23/12 al 5/1,,,22,Toscana,-25.77557223,,,,
,,,,,,,,,,,,22-gen,75,-8.4,1.01,14,dal 30/12 al 12/1,0.98,6/1,22,Toscana,-26.25305414,,,,
,,,,,,,,,,,,23-gen,77,-2.7,,14,dal 30/12 al 12/1,,,22,Toscana,-25.29809032,,,,
,,,,,,,,,,,,24-gen,81,3.7,,14,dal 30/12 al 12/1,,,22,Toscana,-23.38816267,,,,
,,,,,,,,,,,,25-gen,83,7.6,,14,dal 30/12 al 12/1,,,22,Toscana,-22.43319885,,,,
,,,,,,,,,,,,26-gen,86,13.7,,14,dal 30/12 al 12/1,,,22,Toscana,-21.00075311,,,,
,,,,,,,,,,,,27-gen,87,18.5,,14,dal 30/12 al 12/1,,,22,Toscana,-20.5232712,,,,
,,,,,,,,,,,,28-gen,90,19.3,,14,dal 30/12 al 12/1,,,22,Toscana,-19.09082547,,,,
,,,,,,,,,,,,,,,,14,,,,22,,,,,,
,,,,,,,,,,,,,,,,14,,,,22,,,,,,
,,,,,,,,,,,,,,,,14,,,,22,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1.51,0.54,134.2,-121.0431373,134.2,-23.8,52.57731959,47.42268041,84.93670886,15.06329114,52.57731959,47.42268041,18-set,20,9.8,0.54,15,dal 27/8 al 9/9,,,11,Lazio,-105.287388,134.2,,,
,,,,,,,,,,,,19-set,20,14.1,,15,dal 27/8 al 9/9,,,11,Lazio,-105.287388,,,,
,,,,,,,,,,,,20-set,21,13.9,,15,dal 27/8 al 9/9,,,11,Lazio,-104.4996006,,,,
,,,,,,,,,,,,21-set,21,13.2,,15,dal 27/8 al 9/9,,,11,Lazio,-104.4996006,,,,
,,,,,,,,,,,,22-set,23,21.1,,15,dal 27/8 al 9/9,,,11,Lazio,-102.9240257,,,,
,,,,,,,,,,,,23-set,23,25,,15,dal 27/8 al 9/9,,,11,Lazio,-102.9240257,,,,
,,,,,,,,,,,,24-set,24,27.3,,15,dal 27/8 al 9/9,,,11,Lazio,-102.1362382,,,,
,,,,,,,,,,,,25-set,25,25.6,0.85,15,dal 3/9 al 16/9,,,11,Lazio,-101.3484507,,,,
,,,,,,,,,,,,26-set,25,23,,15,dal 3/9 al 16/9,,,11,Lazio,-101.3484507,,,,
,,,,,,,,,,,,27-set,25,22.1,,15,dal 3/9 al 16/9,,,11,Lazio,-101.3484507,,,,
,,,,,,,,,,,,28-set,26,21.5,,15,dal 3/9 al 16/9,,,11,Lazio,-100.5606633,,,,
,,,,,,,,,,,,29-set,25,11.1,,15,dal 3/9 al 16/9,,,11,Lazio,-101.3484507,,,,
,,,,,,,,,,,,30-set,26,9.7,,15,dal 3/9 al 16/9,,,11,Lazio,-100.5606633,,,,
,,,,,,,,,,,,1-ott,26,8.4,,15,dal 3/9 al 16/9,,,11,Lazio,-100.5606633,,,,
,,,,,,,,,,,,2-ott,27,8,1.09,15,dal 10/9 al 23/9,,,11,Lazio,-99.77287582,,,,
,,,,,,,,,,,,3-ott,27,9.2,,15,dal 10/9 al 23/9,,,11,Lazio,-99.77287582,,,,
,,,,,,,,,,,,4-ott,28,12.3,,15,dal 10/9 al 23/9,,,11,Lazio,-98.98508836,,,,
,,,,,,,,,,,,5-ott,29,13.8,,15,dal 10/9 al 23/9,,,11,Lazio,-98.1973009,,,,
,,,,,,,,,,,,6-ott,30,19,,15,dal 10/9 al 23/9,,,11,Lazio,-97.40951344,,,,
,,,,,,,,,,,,7-ott,33,27.6,,15,dal 10/9 al 23/9,,,11,Lazio,-95.04615105,,,,
,,,,,,,,,,,,8-ott,34,30.8,,15,dal 10/9 al 23/9,,,11,Lazio,-94.25836359,,,,
,,,,,,,,,,,,9-ott,36,35.8,1.16,15,dal 17/9 al 30/9,,,11,Lazio,-92.68278867,,,,
,,,,,,,,,,,,10-ott,38,39.9,,15,dal 17/9 al 30/9,,,11,Lazio,-91.10721375,,,,
,,,,,,,,,,,,11-ott,40,42.2,,15,dal 17/9 al 30/9,,,11,Lazio,-89.53163883,,,,
,,,,,,,,,,,,12-ott,43,47.7,,15,dal 17/9 al 30/9,,,11,Lazio,-87.16827645,,,,
,,,,,,,,,,,,13-ott,48,60.3,,15,dal 17/9 al 30/9,,,11,Lazio,-83.22933914,,,,
,,,,,,,,,,,,14-ott,51,57.7,,15,dal 17/9 al 30/9,,,11,Lazio,-80.86597676,,,,
,,,,,,,,,,,,15-ott,55,62,1.14,15,dal 24/9 al 7/10,,,11,Lazio,-77.71482692,,,,
,,,,,,,,,,,,16-ott,62,71.8,,15,dal 24/9 al 7/10,,,11,Lazio,-72.20031469,,,,
,,,,,,,,,,,,17-ott,73,89.5,,15,dal 24/9 al 7/10,,,11,Lazio,-63.53465263,,,,
,,,,,,,,,,,,18-ott,87,114.1,,15,dal 24/9 al 7/10,,,11,Lazio,-52.50562818,,,,
,,,,,,,,,,,,19-ott,96,123.2,,15,dal 24/9 al 7/10,,,11,Lazio,-45.41554103,,,,
,,,,,,,,,,,,20-ott,107,122,,15,dal 24/9 al 7/10,,,11,Lazio,-36.74987896,,,,
,,,,,,,,,,,,21-ott,118,130.7,,15,dal 24/9 al 7/10,,,11,Lazio,-28.0842169,,,,
,,,,,,,,,,,,22-ott,130,134.2,,15,dal 24/9 al 7/10,,,11,Lazio,-18.63076737,,,,
,,,,,,,,,,,,23-ott,140,124.4,1.38,15,dal 1/10 al 14/10,,,11,Lazio,-10.75289276,,,,
,,,,,,,,,,,,24-ott,152,108.5,,15,dal 1/10 al 14/10,,,11,Lazio,-1.299443234,,,,
,,,,,,,,,,,,25-ott,157,81.4,,15,dal 1/10 al 14/10,,,11,Lazio,2.639494069,,,,
,,,,,,,,,,,,26-ott,170,77.4,,15,dal 1/10 al 14/10,,,11,Lazio,12.88073106,,,,
,,,,,,,,,,,,27-ott,183,71.4,,15,dal 1/10 al 14/10,,,11,Lazio,23.12196805,,,,
,,,,,,,,,,,,28-ott,196,65.5,,15,dal 1/10 al 14/10,,,11,Lazio,33.36320504,,,,
,,,,,,,,,,,,29-ott,209,61,,15,dal 1/10 al 14/10,,,11,Lazio,43.60444202,,,,
,,,,,,,,,,,,30-ott,223,59.8,1.51,15,dal 8/10 al 21/10,,,11,Lazio,54.63346647,,,,
,,,,,,,,,,,,31-ott,233,54.1,,15,dal 8/10 al 21/10,,,11,Lazio,62.51134108,,,,
,,,,,,,,,,,,1-nov,247,57.1,,15,dal 8/10 al 21/10,,,11,Lazio,73.54036553,,,,
,,,,,,,,,,,,2-nov,250,46.8,,15,dal 8/10 al 21/10,,,11,Lazio,75.90372791,,,,
,,,,,,,,,,,,3-nov,254,38.4,,15,dal 8/10 al 21/10,,,11,Lazio,79.05487775,,,,
,,,,,,,,,,,,4-nov,262,33.5,,15,dal 8/10 al 21/10,,,11,Lazio,85.35717744,,,,
,,,,,,,,,,,,5-nov,274,31.4,,15,dal 8/10 al 21/10,1.43,14/10,11,Lazio,94.81062697,,,,
,,,,,,,,,,,,6-nov,282,26.3,,15,dal 8/10 al 21/10,,,11,Lazio,101.1129267,,,,
,,,,,,,,,,,,7-nov,288,23.2,,15,dal 8/10 al 21/10,,,11,Lazio,105.8396514,,,,
,,,,,,,,,,,,8-nov,290,17.2,,15,dal 8/10 al 21/10,,,11,Lazio,107.4152263,,,,
,,,,,,,,,,,,9-nov,295,18,1.36,15,dal 15/10 al 28/10,1.2,21/10,11,Lazio,111.3541636,,,,
,,,,,,,,,,,,10-nov,302,18.9,,15,dal 15/10 al 28/10,,,11,Lazio,116.8686759,,,,
,,,,,,,,,,,,11-nov,302,15.6,,15,dal 15/10 al 28/10,,,11,Lazio,116.8686759,,,,
,,,,,,,,,,,,12-nov,302,10,,15,dal 15/10 al 28/10,,,11,Lazio,116.8686759,,,,
,,,,,,,,,,,,13-nov,305,8.4,1.04,15,dal 22/10 al 4/11,1.04,28/10,11,Lazio,119.2320382,,,,
,,,,,,,,,,,,14-nov,312,8.5,,15,dal 22/10 al 4/11,,,11,Lazio,124.7465505,,,,
,,,,,,,,,,,,15-nov,314,8.3,,15,dal 22/10 al 4/11,,,11,Lazio,126.3221254,,,,
,,,,,,,,,,,,16-nov,318,8,,15,dal 22/10 al 4/11,,,11,Lazio,129.4732752,,,,
,,,,,,,,,,,,17-nov,317,5.1,,15,dal 22/10 al 4/11,,,11,Lazio,128.6854878,,,,
,,,,,,,,,,,,18-nov,324,7,,15,dal 22/10 al 4/11,,,11,Lazio,134.2,,,,
,,,,,,,,,,,,19-nov,324,7.4,,15,dal 22/10 al 4/11,,,11,Lazio,134.2,,,,
,,,,,,,,,,,,20-nov,320,4.6,0.9,15,dal 28/10 al 10/11,0.82,4/11,11,Lazio,131.0488502,,,,
,,,,,,,,,,,,21-nov,314,0.6,,15,dal 28/10 al 10/11,,,11,Lazio,126.3221254,,,,
,,,,,,,,,,,,22-nov,312,-0.5,,15,dal 28/10 al 10/11,,,11,Lazio,124.7465505,,,,
,,,,,,,,,,,,23-nov,311,-2.2,,15,dal 28/10 al 10/11,,,11,Lazio,123.958763,,,,
,,,,,,,,,,,,24-nov,311,-2,,15,dal 28/10 al 10/11,,,11,Lazio,123.958763,,,,
,,,,,,,,,,,,25-nov,298,-8,,15,dal 28/10 al 10/11,,,11,Lazio,113.717526,,,,
,,,,,,,,,,,,26-nov,290,-10.4,,15,dal 28/10 al 10/11,,,11,Lazio,107.4152263,,,,
,,,,,,,,,,,,27-nov,284,-11.2,0.96,15,dal 4/11 al 17/11,0.88,11/11,11,Lazio,102.6885016,,,,
,,,,,,,,,,,,28-nov,274,-12.8,,15,dal 4/11 al 17/11,,,11,Lazio,94.81062697,,,,
,,,,,,,,,,,,29-nov,265,-15.3,,15,dal 4/11 al 17/11,,,11,Lazio,87.72053982,,,,
,,,,,,,,,,,,30-nov,252,-19.1,,15,dal 4/11 al 17/11,,,11,Lazio,77.47930283,,,,
,,,,,,,,,,,,1-dic,237,-23.6,,15,dal 4/11 al 17/11,,,11,Lazio,65.66249092,,,,
,,,,,,,,,,,,2-dic,232,-22,,15,dal 4/11 al 17/11,,,11,Lazio,61.72355362,,,,
,,,,,,,,,,,,3-dic,224,-22.9,,15,dal 4/11 al 17/11,,,11,Lazio,55.42125393,,,,
,,,,,,,,,,,,4-dic,216,-23.8,0.94,15,dal 11/11 al 24/11,1.04,18/11,11,Lazio,49.11895425,,,,
,,,,,,,,,,,,5-dic,211,-22.8,,15,dal 11/11 al 24/11,,,11,Lazio,45.18001695,,,,
,,,,,,,,,,,,6-dic,205,-22.4,,15,dal 11/11 al 24/11,,,11,Lazio,40.45329218,,,,
,,,,,,,,,,,,7-dic,202,-19.9,,15,dal 11/11 al 24/11,,,11,Lazio,38.0899298,,,,
,,,,,,,,,,,,8-dic,199,-16.3,,15,dal 11/11 al 24/11,,,11,Lazio,35.72656742,,,,
,,,,,,,,,,,,9-dic,190,-18,,15,dal 11/11 al 24/11,,,11,Lazio,28.63648027,,,,
,,,,,,,,,,,,10-dic,185,-17.1,,15,dal 11/11 al 24/11,,,11,Lazio,24.69754297,,,,
,,,,,,,,,,,,11-dic,175,-19,0.82,15,dal 18/11 al 1/12,0.67,25/11,11,Lazio,16.81966836,,,,
,,,,,,,,,,,,12-dic,165,-21.8,,15,dal 18/11 al 1/12,,,11,Lazio,8.941793755,,,,
,,,,,,,,,,,,13-dic,160,-21.9,,15,dal 18/11 al 1/12,,,11,Lazio,5.002856451,,,,
,,,,,,,,,,,,14-dic,159,-21,,15,dal 18/11 al 1/12,,,11,Lazio,4.215068991,,,,
,,,,,,,,,,,,15-dic,153,-22.8,,15,dal 18/11 al 1/12,,,11,Lazio,-0.511655773,,,,
,,,,,,,,,,,,16-dic,152,-20,,15,dal 18/11 al 1/12,,,11,Lazio,-1.299443234,,,,
,,,,,,,,,,,,17-dic,154,-17,,15,dal 18/11 al 1/12,,,11,Lazio,0.276131687,,,,
,,,,,,,,,,,,18-dic,157,-10.2,0.95,15,dal 25/11 al 8/12,1.04,2/12,11,Lazio,2.639494069,,,,
,,,,,,,,,,,,19-dic,161,-2.5,,15,dal 25/11 al 8/12,,,11,Lazio,5.790643912,,,,
,,,,,,,,,,,,20-dic,159,-0.8,,15,dal 25/11 al 8/12,,,11,Lazio,4.215068991,,,,
,,,,,,,,,,,,21-dic,157,-1.4,,15,dal 25/11 al 8/12,,,11,Lazio,2.639494069,,,,
,,,,,,,,,,,,22-dic,159,3.8,,15,dal 25/11 al 8/12,,,11,Lazio,4.215068991,,,,
,,,,,,,,,,,,23-dic,155,1.6,,15,dal 25/11 al 8/12,,,11,Lazio,1.063919148,,,,
,,,,,,,,,,,,24-dic,153,-0.5,0.98,15,dal 1/12 al 14/12,0.96,8/12,11,Lazio,-0.511655773,,,,
,,,,,,,,,,,,25-dic,158,0.2,,15,dal 1/12 al 14/12,,,11,Lazio,3.42728153,,,,
,,,,,,,,,,,,26-dic,153,-5.1,,15,dal 1/12 al 14/12,,,11,Lazio,-0.511655773,,,,
,,,,,,,,,,,,27-dic,149,-6.3,,15,dal 1/12 al 14/12,,,11,Lazio,-3.662805616,,,,
,,,,,,,,,,,,28-dic,145,-7.8,,15,dal 1/12 al 14/12,,,11,Lazio,-6.813955459,,,,
,,,,,,,,,,,,29-dic,144,-9.8,,15,dal 1/12 al 14/12,,,11,Lazio,-7.601742919,,,,
,,,,,,,,,,,,30-dic,150,-2.9,0.89,15,dal 8/12 al 21/12,0.84,15/12,11,Lazio,-2.875018155,,,,
,,,,,,,,,,,,31-dic,154,0.7,,15,dal 8/12 al 21/12,,,11,Lazio,0.276131687,,,,
,,,,,,,,,,,,1-gen,158,0.3,,15,dal 8/12 al 21/12,,,11,Lazio,3.42728153,,,,
,,,,,,,,,,,,2-gen,161,5.2,,15,dal 8/12 al 21/12,,,11,Lazio,5.790643912,,,,
,,,,,,,,,,,,3-gen,173,16,,15,dal 8/12 al 21/12,,,11,Lazio,15.24409344,,,,
,,,,,,,,,,,,4-gen,179,23.6,,15,dal 8/12 al 21/12,,,11,Lazio,19.9708182,,,,
,,,,,,,,,,,,5-gen,187,30.6,,15,dal 8/12 al 21/12,,,11,Lazio,26.27311789,,,,
,,,,,,,,,,,,6-gen,199,32.5,,15,dal 8/12 al 21/12,,,11,Lazio,35.72656742,,,,
,,,,,,,,,,,,7-gen,199,29,,15,dal 8/12 al 21/12,,,11,Lazio,35.72656742,,,,
,,,,,,,,,,,,8-gen,194,22.7,0.99,15,dal 15/12 al 28/12,0.98,22/12,11,Lazio,31.78763011,,,,
,,,,,,,,,,,,9-gen,199,23.6,,15,dal 15/12 al 28/12,,,11,Lazio,35.72656742,,,,
,,,,,,,,,,,,10-gen,200,15.6,,15,dal 15/12 al 28/12,,,11,Lazio,36.51435488,,,,
,,,,,,,,,,,,11-gen,198,10.8,,15,dal 15/12 al 28/12,,,11,Lazio,34.93877996,,,,
,,,,,,,,,,,,12-gen,193,2.7,,15,dal 15/12 al 28/12,,,11,Lazio,30.99984265,,,,
,,,,,,,,,,,,13-gen,186,-6.6,,15,dal 15/12 al 28/12,,,11,Lazio,25.48533043,,,,
,,,,,,,,,,,,14-gen,187,-6.3,,15,dal 15/12 al 28/12,,,11,Lazio,26.27311789,,,,
,,,,,,,,,,,,15-gen,183,-5.8,1.07,15,dal 23/12 al 5/1,1.1,30/12,11,Lazio,23.12196805,,,,
,,,,,,,,,,,,16-gen,178,-10.2,,15,dal 23/12 al 5/1,,,11,Lazio,19.18303074,,,,
,,,,,,,,,,,,17-gen,170,-15,,15,dal 23/12 al 5/1,,,11,Lazio,12.88073106,,,,
,,,,,,,,,,,,18-gen,163,-17.7,,15,dal 23/12 al 5/1,,,11,Lazio,7.366218833,,,,
,,,,,,,,,,,,19-gen,159,-17.7,,15,dal 23/12 al 5/1,,,11,Lazio,4.215068991,,,,
,,,,,,,,,,,,20-gen,153,-17.8,,15,dal 23/12 al 5/1,,,11,Lazio,-0.511655773,,,,
,,,,,,,,,,,,21-gen,144,-22.7,,15,dal 23/12 al 5/1,,,11,Lazio,-7.601742919,,,,
,,,,,,,,,,,,22-gen,140,-23.5,0.97,15,dal 30/12 al 12/1,0.94,6/1,11,Lazio,-10.75289276,,,,
,,,,,,,,,,,,23-gen,140,-21.4,,15,dal 30/12 al 12/1,,,11,Lazio,-10.75289276,,,,
,,,,,,,,,,,,24-gen,137,-19.4,,15,dal 30/12 al 12/1,,,11,Lazio,-13.11625514,,,,
,,,,,,,,,,,,25-gen,137,-16.1,,15,dal 30/12 al 12/1,,,11,Lazio,-13.11625514,,,,
,,,,,,,,,,,,26-gen,136,-14.3,,15,dal 30/12 al 12/1,,,11,Lazio,-13.9040426,,,,
,,,,,,,,,,,,27-gen,137,-10.5,,15,dal 30/12 al 12/1,,,11,Lazio,-13.11625514,,,,
,,,,,,,,,,,,28-gen,136,-5.5,,15,dal 30/12 al 12/1,,,11,Lazio,-13.9040426,,,,
,,,,,,,,,,,,,,,,15,,,,11,,,,,,
,,,,,,,,,,,,,,,,15,,,,11,,,,,,
,,,,,,,,,,,,,,,,15,,,,11,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1.69,0.66,172.4,-84.95072464,172.4,-36.2,66.99029126,33.00970874,82.64621285,17.35378715,66.99029126,33.00970874,18-set,17,11.9,0.85,16,dal 27/8 al 9/9,,,23,Umbria,-75.7980838,172.4,,,
,,,,,,,,,,,,19-set,17,-1.3,,16,dal 27/8 al 9/9,,,23,Umbria,-75.7980838,,,,
,,,,,,,,,,,,20-set,17,-0.7,,16,dal 27/8 al 9/9,,,23,Umbria,-75.7980838,,,,
,,,,,,,,,,,,21-set,16,-4.7,,16,dal 27/8 al 9/9,,,23,Umbria,-76.33647444,,,,
,,,,,,,,,,,,22-set,17,-10.9,,16,dal 27/8 al 9/9,,,23,Umbria,-75.7980838,,,,
,,,,,,,,,,,,23-set,17,0,,16,dal 27/8 al 9/9,,,23,Umbria,-75.7980838,,,,
,,,,,,,,,,,,24-set,18,6.1,,16,dal 27/8 al 9/9,,,23,Umbria,-75.25969317,,,,
,,,,,,,,,,,,25-set,18,4.6,1.06,16,dal 3/9 al 16/9,,,23,Umbria,-75.25969317,,,,
,,,,,,,,,,,,26-set,18,7.3,,16,dal 3/9 al 16/9,,,23,Umbria,-75.25969317,,,,
,,,,,,,,,,,,27-set,18,5.3,,16,dal 3/9 al 16/9,,,23,Umbria,-75.25969317,,,,
,,,,,,,,,,,,28-set,19,14.7,,16,dal 3/9 al 16/9,,,23,Umbria,-74.72130253,,,,
,,,,,,,,,,,,29-set,18,9.5,,16,dal 3/9 al 16/9,,,23,Umbria,-75.25969317,,,,
,,,,,,,,,,,,30-set,21,26.2,,16,dal 3/9 al 16/9,,,23,Umbria,-73.64452125,,,,
,,,,,,,,,,,,1-ott,23,31.4,,16,dal 3/9 al 16/9,,,23,Umbria,-72.56773998,,,,
,,,,,,,,,,,,2-ott,28,54.4,1.07,16,dal 10/9 al 23/9,,,23,Umbria,-69.87578679,,,,
,,,,,,,,,,,,3-ott,28,55.9,,16,dal 10/9 al 23/9,,,23,Umbria,-69.87578679,,,,
,,,,,,,,,,,,4-ott,34,91.1,,16,dal 10/9 al 23/9,,,23,Umbria,-66.64544297,,,,
,,,,,,,,,,,,5-ott,35,89,,16,dal 10/9 al 23/9,,,23,Umbria,-66.10705233,,,,
,,,,,,,,,,,,6-ott,40,116.8,,16,dal 10/9 al 23/9,,,23,Umbria,-63.41509914,,,,
,,,,,,,,,,,,7-ott,42,95.7,,16,dal 10/9 al 23/9,,,23,Umbria,-62.33831787,,,,
,,,,,,,,,,,,8-ott,46,98,,16,dal 10/9 al 23/9,,,23,Umbria,-60.18475532,,,,
,,,,,,,,,,,,9-ott,56,102.9,1.12,16,dal 17/9 al 30/9,,,23,Umbria,-54.80084895,,,,
,,,,,,,,,,,,10-ott,66,133.1,,16,dal 17/9 al 30/9,,,23,Umbria,-49.41694257,,,,
,,,,,,,,,,,,11-ott,73,114.6,,16,dal 17/9 al 30/9,,,23,Umbria,-45.64820811,,,,
,,,,,,,,,,,,12-ott,88,150.6,,16,dal 17/9 al 30/9,,,23,Umbria,-37.57234855,,,,
,,,,,,,,,,,,13-ott,96,143.8,,16,dal 17/9 al 30/9,,,23,Umbria,-33.26522346,,,,
,,,,,,,,,,,,14-ott,105,151.9,,16,dal 17/9 al 30/9,,,23,Umbria,-28.41970772,,,,
,,,,,,,,,,,,15-ott,125,172.4,1.4,16,dal 24/9 al 7/10,,,23,Umbria,-17.65189497,,,,
,,,,,,,,,,,,16-ott,131,132.9,,16,dal 24/9 al 7/10,,,23,Umbria,-14.42155115,,,,
,,,,,,,,,,,,17-ott,139,109.6,,16,dal 24/9 al 7/10,,,23,Umbria,-10.11442605,,,,
,,,,,,,,,,,,18-ott,161,118.8,,16,dal 24/9 al 7/10,,,23,Umbria,1.73016797,,,,
,,,,,,,,,,,,19-ott,163,84.9,,16,dal 24/9 al 7/10,,,23,Umbria,2.806949245,,,,
,,,,,,,,,,,,20-ott,169,75.7,,16,dal 24/9 al 7/10,,,23,Umbria,6.037293069,,,,
,,,,,,,,,,,,21-ott,193,83.8,,16,dal 24/9 al 7/10,,,23,Umbria,18.95866836,,,,
,,,,,,,,,,,,22-ott,210,67.1,,16,dal 24/9 al 7/10,,,23,Umbria,28.1113092,,,,
,,,,,,,,,,,,23-ott,238,81.9,1.69,16,dal 1/10 al 14/10,,,23,Umbria,43.18624704,,,,
,,,,,,,,,,,,24-ott,274,97.1,,16,dal 1/10 al 14/10,,,23,Umbria,62.56830999,,,,
,,,,,,,,,,,,25-ott,289,80,,16,dal 1/10 al 14/10,,,23,Umbria,70.64416955,,,,
,,,,,,,,,,,,26-ott,300,84.3,,16,dal 1/10 al 14/10,,,23,Umbria,76.56646656,,,,
,,,,,,,,,,,,27-ott,314,85.2,,16,dal 1/10 al 14/10,,,23,Umbria,84.10393548,,,,
,,,,,,,,,,,,28-ott,320,65.5,,16,dal 1/10 al 14/10,,,23,Umbria,87.3342793,,,,
,,,,,,,,,,,,29-ott,352,68.1,,16,dal 1/10 al 14/10,,,23,Umbria,104.5627797,,,,
,,,,,,,,,,,,30-ott,384,61.6,1.67,16,dal 8/10 al 21/10,,,23,Umbria,121.7912801,,,,
,,,,,,,,,,,,31-ott,379,38.5,,16,dal 8/10 al 21/10,,,23,Umbria,119.0993269,,,,
,,,,,,,,,,,,1-nov,414,43,,16,dal 8/10 al 21/10,,,23,Umbria,137.9429992,,,,
,,,,,,,,,,,,2-nov,406,35.2,,16,dal 8/10 al 21/10,,,23,Umbria,133.6358741,,,,
,,,,,,,,,,,,3-nov,418,33.2,,16,dal 8/10 al 21/10,,,23,Umbria,140.0965618,,,,
